archivo,variable,es_climatologia,dominio_AAA_propuesto,confianza,apto_fase2_estacionalidad,apto_fase3_enso,metodo,periodo_inicio,periodo_fin,n_meses_datos,cubre_el_nino,n_meses_el_nino,cubre_la_nina,n_meses_la_nina,fuente_clasificacion_enso
puentecolgantesibayo_caudal_volumen.csv,caudal_volumen,False,CAPLINA-OCOÑA,alta,True,True,"coordenadas (verificado point-in-polygon, aportadas por el usuario)",1968-09,1993-03,268,True,58,True,92,"indice_1982+,lista_documentada_pre1982"
rimac_caudal_volumen.csv,caudal_volumen,False,CAÑETE-FORTALEZA,alta,True,True,nombre de cuenca (sin verificar coordenadas),1964-01,2009-12,552,True,108,True,163,"indice_1982+,lista_documentada_pre1982"
sama_coruca_caudal_volumen.csv,caudal_volumen,False,CAPLINA-OCOÑA,alta,True,True,nombre de cuenca (sin verificar coordenadas),2005-06,2008-12,40,True,5,True,16,indice_1982+
sama_multiestacion_caudal.csv,caudal_volumen,False,CAPLINA-OCOÑA,alta,True,True,nombre de cuenca (sin verificar coordenadas),1993-01,1996-12,48,True,5,True,10,indice_1982+
supe_caudal_volumen.csv,caudal_volumen,False,CAÑETE-FORTALEZA,media,True,True,nombre de cuenca (sin verificar coordenadas),1962-08,2002-07,480,True,85,True,145,"indice_1982+,lista_documentada_pre1982"
tacna_piedrasblancas_caudal_volumen.csv,caudal_volumen,False,CAPLINA-OCOÑA,media,True,True,nombre de cuenca (sin verificar coordenadas),1950-01,1989-12,447,True,71,True,133,"indice_1982+,lista_documentada_pre1982"
tumbes_caudal_volumen.csv,caudal_volumen,False,JEQUETEPEQUE-ZARUMILLA,alta,True,True,nombre de cuenca (sin verificar coordenadas),1963-01,2008-12,552,True,102,True,161,"indice_1982+,lista_documentada_pre1982"
tumbes_precipitacion_multiestacion.csv,precipitacion,False,JEQUETEPEQUE-ZARUMILLA,alta,True,True,nombre de cuenca (sin verificar coordenadas),1964-01,2008-12,540,True,102,True,161,"indice_1982+,lista_documentada_pre1982"
urubamba_caudal_volumen.csv,caudal_volumen,False,URUBAMBA-VILCANOTA,alta,True,True,nombre de cuenca (sin verificar coordenadas),1964-01,2008-12,540,True,102,True,161,"indice_1982+,lista_documentada_pre1982"
urubamba_precipitacion_multiestacion.csv,precipitacion,False,URUBAMBA-VILCANOTA,alta,True,True,nombre de cuenca (sin verificar coordenadas),1964-01,2008-12,540,True,102,True,161,"indice_1982+,lista_documentada_pre1982"
zana_caudal_persistencia_climatologia.csv,caudal_volumen,True,JEQUETEPEQUE-ZARUMILLA,media,True,False,nombre de cuenca (sin verificar coordenadas),,,0,False,0,False,0,sin columna date (climatologia u otra estructura)
zana_precipitacion.csv,precipitacion,False,JEQUETEPEQUE-ZARUMILLA,media,True,True,nombre de cuenca (sin verificar coordenadas),1977-01,1987-12,132,True,32,True,31,"indice_1982+,lista_documentada_pre1982"
zarumilla_caudal_volumen_multiestacion.csv,caudal_volumen,False,JEQUETEPEQUE-ZARUMILLA,alta,True,True,nombre de cuenca (sin verificar coordenadas),1960-01,2005-12,552,True,97,True,146,"indice_1982+,lista_documentada_pre1982"
zarumilla_precipitacion_diaria.csv,precipitacion,False,JEQUETEPEQUE-ZARUMILLA,alta,True,True,nombre de cuenca (sin verificar coordenadas),2003-01,2003-12,365,True,2,False,0,indice_1982+
