date,caudal_la_frontera_m3_s,volumen_la_frontera_mmc
1992-11-01,2.44,6.3245
1992-12-01,2.78,7.446
1993-01-01,6.35,17.0078
1993-02-01,3.17,7.6689
1993-03-01,3.12,8.3566
1993-04-01,2.65,6.8688
1993-05-01,2.63,7.0442
1993-06-01,2.71,7.0243
1993-07-01,2.51,6.7228
1993-08-01,2.98,7.9816
1993-09-01,2.53,6.5578
1993-10-01,3.38,9.053
1993-11-01,2.57,6.6614
1993-12-01,3.07,8.2227
1994-01-01,3.05,8.1691
1994-02-01,10.4,25.1597
1994-03-01,3.39,9.0798
1994-04-01,3.11,8.0611
1994-05-01,3.1,8.303
1994-06-01,3.08,7.9834
1994-07-01,2.98,7.9816
1994-08-01,3.01,8.062
1994-09-01,2.94,7.6205
1994-10-01,3.09,8.2763
1994-11-01,3.38,8.761
1995-01-01,3.5,9.3744
1995-02-01,4.11,9.9429
1995-03-01,5.52,14.7848
1995-04-01,2.63,6.817
1995-05-01,2.31,6.1871
1995-06-01,2.2,5.7024
1995-07-01,2.63,7.0442
1995-08-01,2.63,7.0442
1995-09-01,2.06,5.3395
1995-10-01,2.0,5.3568
1995-11-01,2.71,7.0243
1996-01-01,3.14,8.4102
1996-02-01,3.78,9.4712
1996-03-01,2.63,7.0442
1996-04-01,2.19,5.6765
1996-05-01,2.0,5.3568
1996-06-01,1.92,4.9766
1996-07-01,1.82,4.8747
1996-08-01,1.84,4.9283
1996-09-01,1.92,4.9766
1996-10-01,2.44,6.5353
1996-11-01,2.71,7.0243
1997-01-01,5.66,15.1597
1997-02-01,10.5,25.4016
1997-03-01,4.57,12.2403
1997-04-01,2.79,7.2317
1997-05-01,2.05,5.4907
1997-06-01,1.95,5.0544
1997-07-01,1.79,4.7943
1997-08-01,1.94,5.1961
1997-09-01,1.91,4.9507
1997-10-01,1.7,4.5533
1997-11-01,1.69,4.3805
1997-12-01,1.88,5.0354
1998-01-01,4.36,11.6778
1998-02-01,3.98,9.6284
1998-03-01,1.99,5.33
1998-04-01,2.0,5.184
1998-05-01,2.14,5.7318
1998-06-01,1.87,4.847
1998-07-01,1.85,4.955
1998-08-01,1.81,4.8479
1998-09-01,1.7,4.4064
1998-10-01,1.72,4.6068
1998-11-01,1.68,4.3546
1998-12-01,1.81,4.8479
1999-01-01,2.6,6.9638
1999-02-01,13.13,31.7641
1999-03-01,18.92,50.6753
1999-04-01,6.01,15.5779
1999-05-01,2.39,6.4014
1999-06-01,2.62,6.791
1999-07-01,2.29,6.1335
1999-08-01,2.16,5.7853
1999-09-01,2.11,5.4691
1999-10-01,2.12,5.6782
1999-11-01,1.89,4.8989
1999-12-01,2.23,5.9728
2000-01-01,6.26,16.7668
2000-02-01,11.87,29.7415
2000-03-01,12.42,33.2657
2000-04-01,2.89,7.4909
2000-05-01,2.36,6.321
2000-06-01,2.23,5.7802
2000-07-01,2.2,5.8925
2000-08-01,2.16,5.7853
2000-09-01,1.84,4.7693
2000-10-01,1.78,4.7676
2000-11-01,1.72,4.4582
2000-12-01,2.39,6.4014
2001-01-01,13.63,36.5066
2001-02-01,25.03,60.5526
2001-03-01,16.82,45.0507
2001-04-01,5.91,15.3187
2001-05-01,3.89,10.419
2001-06-01,2.85,7.3872
2001-07-01,3.14,8.4102
2001-08-01,2.9,7.7674
2001-09-01,2.58,6.6874
2001-10-01,2.35,6.2942
2001-11-01,2.18,5.6506
2001-12-01,2.79,7.4727
2002-01-01,2.83,7.5799
2002-02-01,7.39,17.8779
2002-03-01,9.57,25.6323
2002-04-01,5.28,13.6858
2002-05-01,2.83,7.5799
2002-06-01,2.43,6.2986
2002-07-01,2.65,7.0978
2002-08-01,2.66,7.1245
2002-09-01,2.03,5.2618
2002-10-01,2.46,6.5889
2002-11-01,2.51,6.5059
2002-12-01,2.5,6.696
2003-01-01,4.06,10.8743
2003-02-01,4.26,10.3058
2003-03-01,4.0,10.7136
2003-04-01,2.68,6.9466
2003-05-01,2.61,6.9906
2003-06-01,2.43,6.2986
2003-07-01,2.28,6.1068
2003-08-01,2.16,5.7853
2003-09-01,2.04,5.2877
2003-10-01,1.81,4.8479
2003-11-01,1.83,4.7434
2003-12-01,2.04,5.4639
