date,precipitacion_areal_mean_mm
1983-06-01,75.21
1983-07-01,2.86
1983-08-01,2.0
1983-09-01,9.07
1983-10-01,29.14
1983-11-01,38.14
1983-12-01,48.79
1984-01-01,52.21
1984-02-01,141.43
1984-03-01,115.93
1984-04-01,50.57
1984-05-01,22.36
1984-06-01,35.93
1984-07-01,3.36
1984-08-01,0.79
1984-09-01,10.71
1984-10-01,29.93
1984-11-01,33.14
1984-12-01,37.64
1985-01-01,51.29
1985-02-01,91.43
1985-03-01,82.21
1985-04-01,40.07
1985-05-01,19.93
1985-06-01,0.64
1985-07-01,1.57
1985-08-01,4.57
1985-09-01,16.5
1985-10-01,12.36
1985-11-01,20.71
1985-12-01,57.86
1986-01-01,107.14
1986-02-01,47.57
1986-03-01,92.21
1986-04-01,90.64
1986-05-01,11.36
1986-06-01,0.36
1986-07-01,1.43
1986-08-01,2.21
1986-09-01,10.0
1986-10-01,10.36
1986-11-01,32.43
1986-12-01,51.57
1987-01-01,195.36
1987-02-01,267.5
1987-03-01,119.14
1987-04-01,67.0
1987-05-01,14.5
1987-06-01,1.57
1987-07-01,3.71
1987-08-01,2.0
1987-09-01,10.57
1987-10-01,19.57
1987-11-01,23.36
1987-12-01,26.14
1988-01-01,99.29
1988-02-01,110.79
1988-03-01,104.5
1988-04-01,100.5
1988-05-01,20.07
1988-06-01,2.07
1988-07-01,0.71
1988-08-01,1.5
1988-09-01,11.43
1988-10-01,27.64
1988-11-01,17.21
1988-12-01,41.79
1989-01-01,64.93
1989-02-01,106.07
1989-03-01,97.36
1989-04-01,63.29
1989-05-01,9.07
1989-06-01,6.14
1989-07-01,0.71
1989-08-01,1.71
1989-09-01,18.14
1989-10-01,44.29
1989-11-01,7.5
1989-12-01,14.21
1990-01-01,37.14
1990-02-01,83.71
1990-03-01,99.93
1990-04-01,37.93
1990-05-01,11.36
1990-06-01,6.64
1990-07-01,0.14
1990-08-01,0.57
1990-09-01,7.93
1990-10-01,39.57
1990-11-01,30.21
1990-12-01,23.64
1991-01-01,16.43
1991-02-01,86.93
1991-03-01,98.86
1991-04-01,56.79
1991-05-01,24.64
1991-06-01,0.71
1991-07-01,0.43
1991-08-01,0.71
1991-09-01,8.93
1991-10-01,22.71
1991-11-01,48.57
1991-12-01,26.36
1992-01-01,29.21
1992-02-01,33.79
1992-03-01,101.07
1992-04-01,74.0
1992-05-01,24.86
1992-06-01,57.5
1992-07-01,0.21
1992-08-01,0.36
1992-09-01,22.57
1992-10-01,40.0
1992-11-01,13.36
1992-12-01,22.0
1993-01-01,38.5
1993-02-01,180.36
1993-03-01,172.36
1993-04-01,86.36
1993-05-01,17.43
1993-06-01,1.0
1993-07-01,0.29
1993-08-01,0.71
1993-09-01,22.36
1993-10-01,75.0
1993-11-01,28.86
1993-12-01,81.21
1994-01-01,102.36
1994-02-01,104.43
1994-03-01,112.79
1994-04-01,80.21
1994-05-01,41.36
1994-06-01,22.21
1994-07-01,2.14
1994-08-01,0.64
1994-09-01,10.07
1994-10-01,19.57
1994-11-01,29.14
1994-12-01,60.57
1995-01-01,62.43
1995-02-01,113.43
1995-03-01,103.0
1995-04-01,54.07
1995-05-01,18.21
1995-06-01,4.79
1995-07-01,1.64
1995-08-01,0.79
1995-09-01,8.64
1995-10-01,25.43
1995-11-01,24.57
1995-12-01,46.07
1996-01-01,51.36
1996-02-01,137.64
1996-03-01,135.36
1996-04-01,63.36
1996-05-01,12.21
1996-06-01,3.57
1996-07-01,0.57
1996-08-01,0.86
1996-09-01,14.07
1996-10-01,39.57
1996-11-01,23.21
1996-12-01,15.43
1997-01-01,21.86
1997-02-01,100.14
1997-03-01,79.36
1997-04-01,59.71
1997-05-01,16.57
1997-06-01,7.5
1997-07-01,0.07
1997-08-01,1.14
1997-09-01,14.0
1997-10-01,36.57
1997-11-01,29.21
1997-12-01,167.79
1998-01-01,264.07
1998-02-01,277.64
1998-03-01,217.0
1998-04-01,99.14
1998-05-01,18.79
1998-06-01,15.36
1998-07-01,0.5
1998-08-01,1.71
1998-09-01,10.36
1998-10-01,29.71
1998-11-01,24.29
1998-12-01,30.93
1999-01-01,62.86
1999-02-01,262.43
1999-03-01,133.0
1999-04-01,89.57
1999-05-01,45.29
1999-06-01,10.5
1999-07-01,4.21
1999-08-01,2.64
1999-09-01,21.57
1999-10-01,34.21
1999-11-01,35.93
1999-12-01,63.36
2000-01-01,51.71
2000-02-01,203.71
2000-03-01,162.64
2000-04-01,94.21
2000-05-01,44.07
2000-06-01,5.43
2000-07-01,1.14
2000-08-01,1.64
2000-09-01,17.14
2000-10-01,46.0
2000-11-01,25.14
2000-12-01,82.64
2001-01-01,142.43
2001-02-01,92.86
2001-03-01,232.57
2001-04-01,85.57
2001-05-01,29.29
2001-06-01,6.57
2001-07-01,1.43
2001-08-01,2.0
2001-09-01,12.64
2001-10-01,33.29
2001-11-01,43.0
2001-12-01,52.36
2002-01-01,35.21
2002-02-01,184.29
2002-03-01,128.93
2002-04-01,77.64
2002-05-01,20.0
2002-06-01,8.86
2002-07-01,0.79
