date,caudal_santodomingo_m3s,volumen_santodomingo_mmc
1927-06-01,6.067,15.73
1927-07-01,3.968,10.63
1927-08-01,2.452,6.57
1927-09-01,2.48,6.43
1927-10-01,6.584,17.63
1927-11-01,7.0,18.14
1927-12-01,7.371,19.74
1928-01-01,5.684,15.22
1928-02-01,7.069,17.71
1928-03-01,11.161,29.89
1928-04-01,5.867,15.21
1928-05-01,3.755,10.06
1928-06-01,2.913,7.55
1928-07-01,2.377,6.37
1928-08-01,2.316,6.2
1928-09-01,2.47,6.4
1928-10-01,2.529,6.77
1928-11-01,2.67,6.92
1928-12-01,3.716,9.95
1929-01-01,7.535,20.18
1929-02-01,6.925,16.75
1929-03-01,25.758,68.99
1929-04-01,11.8,30.59
1929-05-01,3.774,10.11
1929-06-01,2.413,6.25
1929-07-01,2.0,5.36
1929-08-01,3.471,9.3
1929-09-01,4.297,11.14
1929-10-01,4.459,11.94
1929-11-01,4.48,11.61
1929-12-01,8.419,22.55
1930-01-01,26.258,70.33
1930-02-01,18.503,44.76
1930-03-01,31.232,83.65
1930-04-01,13.727,35.58
1930-05-01,16.216,43.43
1930-06-01,5.107,13.24
1930-07-01,3.374,9.04
1930-08-01,3.274,8.77
1930-09-01,3.537,9.17
1930-10-01,4.348,11.65
1930-11-01,6.01,15.58
1930-12-01,3.661,9.81
1931-01-01,8.274,22.16
1931-02-01,9.671,23.4
1931-03-01,21.826,58.46
1931-04-01,12.103,31.37
1931-05-01,4.368,11.7
1931-06-01,2.743,7.11
1931-07-01,2.439,6.53
1931-08-01,2.493,6.68
1931-09-01,2.647,6.86
1931-10-01,2.721,7.29
1931-11-01,3.069,7.95
1931-12-01,11.299,30.26
1932-01-01,23.484,62.9
1932-02-01,50.552,126.66
1932-03-01,29.29,78.45
1932-04-01,24.624,63.83
1932-05-01,7.908,21.18
1932-06-01,5.972,15.48
1932-07-01,4.652,12.46
1932-08-01,3.957,10.6
1932-09-01,4.166,10.8
1932-10-01,4.492,12.03
1932-11-01,6.657,17.25
1932-12-01,13.903,37.24
1933-01-01,39.296,105.25
1933-02-01,74.821,181.01
1933-03-01,72.242,193.49
1933-04-01,47.177,122.28
1933-05-01,16.292,43.64
1933-06-01,10.179,26.38
1933-07-01,5.768,15.45
1933-08-01,4.566,12.23
1933-09-01,4.598,11.92
1933-10-01,4.294,11.5
1933-11-01,4.842,12.55
1933-12-01,6.842,18.33
