date,asuncion,callancas,campoden,capachique,casa_grande,cascas,coina,contumaza,cospan,otuzco,san_benito,sinsicap,sunchubamba,tambo
1977-10-01,50.0,17.0,16.0,63.0,0.0,9.0,17.0,17.0,67.0,0.0,6.0,4.0,35.0,2.0
1977-11-01,22.0,1.0,17.0,32.0,5.0,5.0,58.0,45.0,40.0,9.0,13.0,5.0,50.0,7.0
1977-12-01,83.0,45.0,31.0,84.0,0.0,11.0,40.0,85.0,53.0,13.0,88.0,10.0,52.0,4.0
1978-01-01,155.0,36.0,59.0,34.0,0.0,7.0,1.0,19.0,54.0,22.0,11.0,13.0,76.0,6.0
1978-02-01,156.0,38.0,79.0,27.0,0.0,25.0,4.0,36.0,75.0,9.0,24.0,49.0,153.0,11.0
1978-03-01,241.0,54.0,102.0,148.0,9.0,36.0,85.0,59.0,93.0,65.0,98.0,57.0,195.0,27.0
1978-04-01,79.0,19.0,25.0,67.0,0.0,5.0,129.0,108.0,39.0,12.0,12.0,8.0,75.0,3.0
1978-05-01,24.0,22.0,19.0,111.0,0.0,6.0,6.0,88.0,41.0,9.0,18.0,7.0,6.0,3.0
1978-06-01,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0
1978-07-01,1.0,0.0,2.0,0.0,1.0,0.0,0.0,19.0,2.0,0.0,0.0,0.0,14.0,0.0
1978-08-01,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978-09-01,7.0,14.0,27.0,47.0,0.0,7.0,1.0,100.0,1.0,28.0,13.0,9.0,35.0,10.0
1978-10-01,110.0,1.0,25.0,139.0,1.0,2.0,10.0,77.0,113.0,0.0,8.0,1.0,54.0,3.0
1978-11-01,13.0,18.0,20.0,90.0,1.0,4.0,65.0,72.0,52.0,9.0,15.0,12.0,50.0,3.0
1978-12-01,92.0,21.0,57.0,21.0,4.0,10.0,40.0,76.0,30.0,0.0,25.0,13.0,100.0,2.0
1979-01-01,79.0,17.0,63.0,32.0,1.0,3.0,0.0,53.0,44.0,4.0,7.0,15.0,100.0,10.0
1979-02-01,222.0,26.0,200.0,111.0,7.0,12.0,131.0,344.0,346.0,31.0,97.0,35.0,167.0,29.0
1979-03-01,71.0,147.0,128.0,188.0,7.0,109.0,212.0,123.0,225.0,135.0,75.0,203.0,131.0,33.0
1979-04-01,62.0,20.0,35.0,122.0,2.0,2.0,98.0,123.0,25.0,34.0,12.0,16.0,67.0,1.0
1979-05-01,21.0,7.0,21.0,32.0,0.0,3.0,12.0,32.0,26.0,0.0,2.0,0.0,11.0,0.0
1979-06-01,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
1979-07-01,1.0,4.0,0.0,6.0,0.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,14.0,0.0
1979-08-01,0.0,4.0,3.0,3.0,1.0,0.0,0.0,56.0,0.0,8.0,2.0,7.0,14.0,3.0
1979-09-01,3.0,6.0,11.0,47.0,0.0,0.0,15.0,57.0,3.0,9.0,6.0,3.0,33.0,8.0
1979-10-01,5.0,2.0,23.0,19.0,0.0,0.0,78.0,0.0,2.0,4.0,3.0,0.0,33.0,1.0
1979-11-01,52.0,0.0,8.0,8.0,0.0,0.0,11.0,23.0,5.0,2.0,5.0,1.0,22.0,0.0
1979-12-01,68.0,7.0,30.0,13.0,0.0,5.0,58.0,34.0,36.0,4.0,6.0,5.0,30.0,1.0
1980-01-01,71.0,13.0,34.0,18.0,0.0,2.0,4.0,94.0,27.0,16.0,13.0,1.0,70.0,1.0
1980-02-01,180.0,8.0,91.0,293.0,0.0,5.0,394.0,64.0,32.0,38.0,46.0,20.0,129.0,18.0
1980-03-01,88.0,30.0,154.0,361.0,4.0,9.0,94.0,49.0,214.0,39.0,42.0,52.0,180.0,34.0
1980-04-01,62.0,29.0,15.0,222.0,0.0,4.0,129.0,17.0,27.0,5.0,9.0,9.0,97.0,2.0
1980-05-01,76.0,1.0,42.0,36.0,0.0,4.0,42.0,29.0,177.0,17.0,6.0,2.0,50.0,1.0
1980-06-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
1980-07-01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1980-08-01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
1980-09-01,20.0,0.0,1.0,84.0,0.0,0.0,7.0,0.0,22.0,13.0,2.0,0.0,1.0,0.0
1980-10-01,91.0,45.0,106.0,124.0,5.0,37.0,72.0,258.0,59.0,13.0,580.0,26.0,134.0,45.0
1980-11-01,39.0,30.0,10.0,69.0,0.0,4.0,53.0,147.0,34.0,29.0,21.0,10.0,65.0,11.0
1980-12-01,173.0,25.0,70.0,50.0,1.0,28.0,44.0,40.0,106.0,4.0,77.0,24.0,142.0,8.0
1981-01-01,296.0,64.0,209.0,40.0,3.0,48.0,30.0,51.0,202.0,57.0,29.0,63.0,226.0,13.0
1981-02-01,270.0,176.0,76.0,199.0,9.0,100.0,73.0,98.0,25.0,94.0,79.0,115.0,165.0,31.0
1981-03-01,227.0,82.0,75.0,270.0,9.0,78.0,138.0,70.0,150.0,95.0,47.0,101.0,131.0,32.0
1981-04-01,87.0,33.0,36.0,222.0,1.0,19.0,110.0,23.0,39.0,4.0,16.0,9.0,85.0,12.0
1981-05-01,7.0,0.0,3.0,18.0,0.0,4.0,53.0,0.0,0.0,16.0,0.0,0.0,4.0,0.0
1981-06-01,24.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,1.0,0.0,22.0,0.0
1981-07-01,1.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
1981-08-01,0.0,4.0,19.0,0.0,0.0,1.0,1.0,14.0,0.0,2.0,0.0,1.0,1.0,3.0
1981-09-01,1.0,2.0,0.0,27.0,0.0,0.0,6.0,0.0,5.0,1.0,2.0,1.0,14.0,0.0
1981-10-01,94.0,38.0,52.0,155.0,2.0,0.0,64.0,31.0,113.0,13.0,8.0,30.0,102.0,3.0
1981-11-01,16.0,5.0,18.0,75.0,1.0,8.0,18.0,20.0,14.0,6.0,9.0,2.0,76.0,11.0
1981-12-01,79.0,40.0,63.0,145.0,1.0,8.0,77.0,26.0,114.0,77.0,18.0,2.0,94.0,1.0
1982-01-01,18.0,63.0,53.0,70.0,2.0,19.0,74.0,34.0,53.0,61.0,11.0,69.0,68.0,10.0
1982-02-01,118.0,11.0,64.0,109.0,2.0,27.0,371.0,35.0,14.0,45.0,56.0,3.0,133.0,9.0
1982-03-01,28.0,50.0,136.0,188.0,2.0,5.0,182.0,14.0,196.0,78.0,19.0,41.0,249.0,44.0
1982-04-01,76.0,120.0,81.0,115.0,2.0,27.0,65.0,43.0,37.0,17.0,38.0,20.0,111.0,26.0
1982-05-01,30.0,2.0,6.0,41.0,1.0,1.0,17.0,15.0,3.0,21.0,0.0,0.0,69.0,0.0
