date,caudal_yonan_m3s,volumen_yonan_mmc
1971-04-01,133.9,347.07
1971-05-01,29.7,79.55
1971-06-01,13.6,35.25
1971-07-01,7.5,20.09
1971-08-01,5.9,15.8
1971-09-01,5.0,12.96
1971-10-01,15.6,41.78
1971-11-01,15.6,40.44
1971-12-01,19.7,52.76
1972-01-01,28.9,77.41
1972-02-01,28.4,71.16
1972-03-01,137.0,366.94
1972-04-01,77.3,200.36
1972-05-01,27.3,73.12
1972-06-01,13.1,33.96
1972-07-01,6.2,16.61
1972-08-01,4.5,12.05
1972-09-01,3.7,9.59
1972-10-01,3.6,9.64
1972-11-01,4.3,11.15
1972-12-01,12.7,34.02
1973-01-01,47.2,126.42
1973-02-01,36.1,87.33
1973-03-01,86.1,230.61
1973-04-01,166.8,432.35
1973-05-01,49.4,132.31
1973-06-01,18.3,47.43
1973-07-01,10.7,28.66
1973-08-01,7.1,19.02
1973-09-01,13.5,34.99
1973-10-01,23.3,62.41
1973-11-01,29.9,77.5
1973-12-01,26.5,70.98
1974-01-01,44.5,119.19
1974-02-01,83.8,202.73
1974-03-01,75.1,201.15
1974-04-01,29.4,76.2
1974-05-01,14.4,38.57
1974-06-01,9.1,23.59
1974-07-01,4.9,13.12
1974-08-01,2.9,7.77
1974-09-01,2.9,7.52
1974-10-01,12.7,34.02
1974-11-01,7.8,20.22
1974-12-01,9.6,25.71
1975-01-01,20.2,54.1
1975-02-01,59.5,143.94
1975-03-01,129.3,346.32
1975-04-01,102.9,266.72
1975-05-01,33.8,90.53
1975-06-01,17.3,44.84
1975-07-01,9.1,24.37
1975-08-01,5.0,13.39
1975-09-01,6.6,17.11
1975-10-01,23.3,62.41
1975-11-01,17.6,45.62
1975-12-01,7.2,19.28
1976-01-01,29.6,79.28
1976-02-01,61.9,155.1
1976-03-01,85.7,229.54
1976-04-01,49.8,129.08
1976-05-01,24.4,65.35
1976-06-01,13.3,34.47
1976-07-01,4.4,11.78
1976-08-01,2.8,7.5
1976-09-01,1.8,4.67
1976-10-01,1.4,3.75
1976-11-01,1.8,4.67
1976-12-01,2.3,6.16
1977-01-01,29.7,79.55
1977-02-01,121.4,293.69
1977-03-01,73.6,197.13
1977-04-01,59.2,153.45
1977-05-01,23.0,61.6
1977-06-01,11.5,29.81
1977-07-01,4.9,13.12
1977-08-01,2.2,5.89
1977-09-01,2.3,5.96
1977-10-01,2.9,7.77
1977-11-01,6.1,15.81
1977-12-01,12.5,33.48
1978-01-01,5.9,15.8
1978-02-01,8.3,20.08
1978-03-01,10.4,27.86
1978-04-01,20.3,52.62
1978-05-01,21.4,57.32
1978-06-01,7.2,18.66
1978-07-01,2.8,7.5
1978-08-01,1.4,3.75
1978-09-01,1.3,3.37
1978-10-01,1.1,2.95
1978-11-01,3.6,9.33
1978-12-01,6.1,16.34
1979-01-01,11.3,30.27
1979-02-01,26.4,63.87
1979-03-01,123.9,331.85
1979-04-01,29.6,76.72
1979-05-01,13.2,35.35
1979-06-01,6.2,16.07
1979-07-01,2.5,6.7
1979-08-01,1.5,4.02
1979-09-01,3.1,8.04
1979-10-01,1.3,3.48
1979-11-01,0.7,1.81
1979-12-01,0.5,1.34
1980-01-01,1.0,2.68
1980-02-01,3.8,9.52
1980-03-01,8.6,23.03
1980-04-01,12.0,31.1
1980-05-01,3.3,8.84
1980-06-01,2.1,5.44
1980-07-01,0.4,1.07
1980-08-01,0.0,0.0
1980-09-01,0.0,0.0
1980-10-01,5.6,15.0
1980-11-01,15.5,40.18
1980-12-01,32.1,85.98
1981-01-01,10.6,28.39
1981-02-01,103.5,250.39
1981-03-01,97.4,260.88
1981-04-01,26.2,67.91
1981-05-01,11.6,31.07
1981-06-01,7.2,18.66
1981-07-01,3.5,9.37
1981-08-01,1.4,3.75
1981-09-01,1.4,3.63
1981-10-01,6.6,17.68
1981-11-01,15.7,40.69
1981-12-01,20.7,55.44
1982-01-01,12.8,34.28
1982-02-01,29.7,71.85
1982-03-01,20.4,54.64
1982-04-01,33.2,86.05
1982-05-01,16.9,45.26
1982-06-01,7.9,20.48
1982-07-01,3.3,8.84
1982-08-01,1.3,3.48
1982-09-01,1.4,3.63
1982-10-01,13.4,35.89
1982-11-01,17.2,44.58
1982-12-01,53.9,144.37
1983-01-01,85.4,228.74
1983-02-01,49.7,120.23
1983-03-01,174.2,466.58
1983-04-01,152.5,395.28
1983-05-01,81.4,218.02
1983-06-01,27.6,71.54
1983-07-01,12.5,33.48
1983-08-01,5.8,15.53
1983-09-01,6.1,15.81
1983-10-01,8.1,21.7
1983-11-01,6.7,17.37
1983-12-01,27.5,73.66
1984-01-01,15.8,42.32
1984-02-01,188.3,471.8
1984-03-01,173.0,463.36
1984-04-01,67.8,175.74
1984-05-01,65.4,175.17
1984-06-01,23.4,60.65
1984-07-01,13.1,35.09
