date,caudal_puchaca_m3s,volumen_puchaca_mmc
1997-06-01,0.563,1.46
1997-07-01,0.441,1.18
1997-08-01,0.303,0.81
1997-09-01,0.105,0.27
1997-10-01,0.246,0.66
1997-11-01,1.705,4.42
1997-12-01,6.486,17.37
1998-01-01,72.704,194.73
1998-02-01,140.054,338.82
1998-03-01,154.702,414.35
1998-04-01,117.604,304.83
1998-05-01,43.329,116.05
1998-06-01,9.524,24.69
1998-07-01,3.477,9.31
1998-08-01,2.004,5.37
1998-09-01,2.317,6.01
1998-10-01,2.377,6.37
1998-11-01,4.917,12.74
1998-12-01,0.811,2.17
1999-01-01,3.78,10.12
1999-02-01,21.228,51.35
1999-03-01,26.832,71.87
1999-04-01,17.369,45.02
1999-05-01,14.589,39.08
1999-06-01,6.109,15.83
1999-07-01,5.437,14.56
1999-08-01,1.269,3.4
1999-09-01,0.948,2.46
1999-10-01,1.908,5.11
1999-11-01,0.739,1.92
1999-12-01,3.465,9.28
2000-01-01,1.247,3.34
2000-02-01,6.905,17.3
2000-03-01,40.488,108.44
2000-04-01,14.117,36.59
2000-05-01,6.507,17.43
2000-06-01,5.401,14.0
2000-07-01,2.403,6.44
2000-08-01,2.236,5.99
2000-09-01,1.774,4.6
2000-10-01,0.804,2.15
2000-11-01,0.318,0.82
2000-12-01,4.399,11.78
2001-01-01,7.554,20.23
2001-02-01,10.956,26.5
2001-03-01,79.115,211.9
2001-04-01,13.148,34.08
2001-05-01,5.468,14.65
2001-06-01,4.443,11.52
2001-07-01,2.984,7.99
2001-08-01,0.71,1.9
2001-09-01,3.313,8.59
2001-10-01,1.601,4.29
2001-11-01,5.447,14.12
2001-12-01,4.631,12.4
2002-01-01,3.21,8.6
2002-02-01,9.794,23.69
2002-03-01,36.423,97.56
2002-04-01,58.169,150.77
2002-05-01,6.37,17.06
2002-06-01,2.64,6.84
2002-07-01,2.896,7.76
2002-08-01,0.968,2.59
2002-09-01,0.322,0.83
2002-10-01,2.495,6.68
2002-11-01,6.519,16.9
2002-12-01,4.665,12.49
2003-01-01,3.913,10.48
2003-02-01,12.361,29.9
2003-03-01,4.909,13.15
2003-04-01,3.46,8.97
2003-05-01,3.896,10.44
2003-06-01,3.441,8.92
2003-07-01,0.913,2.45
2003-08-01,0.348,0.93
2003-09-01,0.323,0.84
2003-10-01,0.503,1.35
2003-11-01,0.906,2.35
2003-12-01,2.032,5.44
2004-01-01,1.791,4.8
2004-02-01,1.08,2.71
2004-03-01,4.236,11.35
2004-04-01,2.312,5.99
2004-05-01,1.685,4.51
2004-06-01,0.893,2.31
2004-07-01,2.625,7.03
2004-08-01,0.225,0.6
2004-09-01,0.662,1.72
2004-10-01,2.503,6.7
2004-11-01,1.452,3.76
2004-12-01,3.67,9.83
2005-01-01,0.798,2.14
2005-02-01,6.484,15.69
2005-03-01,14.117,37.81
2005-04-01,5.112,13.25
2005-05-01,0.774,2.07
2005-06-01,0.809,2.1
2005-07-01,0.343,0.92
2005-08-01,0.102,0.27
2005-09-01,0.044,0.11
2005-10-01,1.377,3.69
2005-11-01,1.296,3.36
2005-12-01,0.376,1.01
