date,precipitacion_asuncion_mm,precipitacion_chilete_mm,precipitacion_contumaza_mm,precipitacion_granjaporcon_mm,precipitacion_huacraruro_mm,precipitacion_livis_mm,precipitacion_llapa_mm,precipitacion_magdalena_mm,precipitacion_montegrande_mm,precipitacion_quebradahonda_mm,precipitacion_quilcate_mm,precipitacion_sanjuan_mm,precipitacion_talla_mm
1965-11-01,48.4,1.2,28.5,NA,86.7,12.9,59.8,19.5,NA,152.9,124.0,4.0,NA
1965-12-01,107.3,24.8,69.0,NA,152.5,22.9,79.2,38.8,NA,NA,109.5,12.0,NA
1966-01-01,125.5,30.4,134.8,NA,187.4,93.7,264.5,59.4,NA,NA,72.5,12.2,NA
1966-02-01,150.3,13.5,67.5,NA,160.7,82.5,88.6,38.2,NA,5.3,46.5,11.6,NA
1966-03-01,100.7,43.3,35.5,NA,202.2,51.7,0.0,NA,NA,7.4,157.0,10.0,NA
1966-04-01,64.9,20.1,25.0,NA,77.2,37.5,96.9,38.5,NA,6.2,247.0,18.0,NA
1966-05-01,33.1,2.2,6.5,NA,60.8,17.3,47.1,8.0,NA,18.0,89.7,5.0,NA
1966-06-01,8.9,NA,NA,18.1,NA,0.0,2.4,NA,NA,11.7,18.0,NA,NA
1966-07-01,5.2,NA,NA,4.0,10.3,0.0,6.0,NA,NA,28.7,17.2,NA,NA
1966-08-01,5.8,NA,NA,8.2,2.6,1.6,0.0,NA,NA,27.1,17.8,NA,NA
1966-09-01,28.2,2.1,14.0,33.0,30.2,9.9,17.1,7.3,NA,60.8,29.5,30.4,NA
1966-10-01,95.2,20.0,60.0,189.0,136.7,50.3,172.6,36.1,NA,210.2,225.5,141.8,NA
1966-11-01,28.1,2.8,4.0,83.0,46.0,1.2,36.1,13.0,NA,113.8,93.4,32.2,NA
1966-12-01,4.4,0.8,10.0,26.0,31.6,6.0,37.1,4.5,NA,7.1,40.0,25.2,NA
1967-01-01,232.0,82.8,171.0,265.9,295.4,123.5,278.9,112.2,NA,497.8,143.3,241.3,NA
1967-02-01,325.2,123.1,265.2,290.0,407.5,256.5,210.2,202.1,NA,416.6,168.9,298.2,NA
1967-03-01,181.5,35.4,117.0,223.0,224.1,103.3,188.7,75.6,NA,145.6,133.1,189.1,NA
1967-04-01,75.2,8.1,3.0,85.0,60.4,9.0,43.0,7.9,NA,86.2,22.5,38.9,NA
1967-05-01,34.8,8.6,27.0,62.0,30.9,42.9,62.4,13.9,NA,72.5,40.1,21.7,NA
1967-06-01,NA,NA,NA,7.0,9.4,2.5,9.5,NA,NA,9.3,27.5,6.1,NA
1967-07-01,14.3,12.7,NA,30.5,22.9,9.2,23.4,14.6,NA,90.3,51.3,19.4,NA
1967-08-01,NA,NA,NA,29.0,7.2,7.9,20.5,1.5,NA,0.0,16.2,0.7,NA
1967-09-01,3.8,16.5,NA,28.0,11.2,1.2,42.0,4.8,NA,22.0,20.4,12.8,NA
1967-10-01,92.8,NA,NA,188.5,139.1,96.9,105.5,53.2,NA,213.6,142.8,94.6,NA
1967-11-01,6.6,NA,NA,23.0,37.8,3.0,10.5,NA,NA,84.2,75.9,9.5,NA
1967-12-01,27.9,2.6,8.0,105.5,41.8,5.4,38.2,9.1,NA,53.4,88.3,24.9,NA
1968-01-01,25.1,3.6,11.7,102.0,71.9,10.7,34.7,13.1,NA,50.3,84.9,64.6,NA
1968-02-01,41.8,5.3,36.4,154.5,82.3,34.7,70.6,33.4,NA,35.3,95.5,80.4,NA
1968-03-01,40.1,7.3,90.1,168.5,232.6,33.0,171.4,29.3,NA,120.7,132.2,111.8,NA
1968-04-01,27.8,NA,9.7,82.5,58.0,6.9,18.5,11.0,NA,43.1,84.5,28.3,NA
1968-05-01,NA,15.4,6.0,22.0,16.3,44.2,20.7,10.1,NA,5.1,48.3,13.0,NA
1968-06-01,NA,NA,NA,3.0,5.5,0.0,0.0,NA,NA,0.0,4.2,NA,NA
1968-07-01,NA,NA,1.5,11.5,1.2,0.5,11.7,2.2,NA,0.0,19.2,0.6,NA
1968-08-01,NA,NA,NA,37.5,24.7,6.0,46.8,NA,NA,5.1,35.0,8.2,NA
