date,precipitacion_total_mm,precipitacion_total_mmc
1983-04-01,163.55,489.138
1983-05-01,3.08,9.207
1983-06-01,0.04,0.128
1983-07-01,0.03,0.096
1983-08-01,4.79,14.318
1983-09-01,2.36,7.054
1983-10-01,15.06,45.053
1983-11-01,8.74,26.136
1983-12-01,16.7,49.951
1984-01-01,18.01,53.877
1984-02-01,39.66,118.608
1984-03-01,31.63,94.586
1984-04-01,5.08,15.184
1984-05-01,2.93,8.749
1984-06-01,0.04,0.128
1984-07-01,0.03,0.096
1984-08-01,0.1,0.296
1984-09-01,2.15,6.427
1984-10-01,8.51,25.456
1984-11-01,10.46,31.278
1984-12-01,9.37,28.025
1985-01-01,6.59,19.716
1985-02-01,37.34,111.674
1985-03-01,11.34,33.922
1985-04-01,6.79,20.31
1985-05-01,10.43,31.185
1985-06-01,0.04,0.128
1985-07-01,0.03,0.096
1985-08-01,3.45,10.304
1985-09-01,11.41,34.117
1985-10-01,13.54,40.489
1985-11-01,18.81,56.246
1985-12-01,15.05,45.016
1986-01-01,24.22,72.441
1986-02-01,27.75,82.987
1986-03-01,22.33,66.797
1986-04-01,14.38,43.015
1986-05-01,0.32,0.97
1986-06-01,0.04,0.128
1986-07-01,0.34,1.013
1986-08-01,2.29,6.837
1986-09-01,1.82,5.449
1986-10-01,2.41,7.22
1986-11-01,1.38,4.141
1986-12-01,11.89,35.562
1987-01-01,33.57,100.394
1987-02-01,28.15,84.182
1987-03-01,43.9,131.309
1987-04-01,19.67,58.841
1987-05-01,3.18,9.501
1987-06-01,0.04,0.128
1987-07-01,0.03,0.096
1987-08-01,0.07,0.2
1987-09-01,6.31,18.875
1987-10-01,7.23,21.619
1987-11-01,11.72,35.04
1987-12-01,21.69,64.881
1988-01-01,12.11,36.229
1988-02-01,15.08,45.112
1988-03-01,13.97,41.79
1988-04-01,17.6,52.625
1988-05-01,2.47,7.385
1988-06-01,0.04,0.128
1988-07-01,0.03,0.096
1988-08-01,0.07,0.2
1988-09-01,1.34,4.001
1988-10-01,6.15,18.394
1988-11-01,14.09,42.151
1988-12-01,10.3,30.795
1989-01-01,15.87,47.453
1989-02-01,53.55,160.172
1989-03-01,46.71,139.715
1989-04-01,19.99,59.785
1989-05-01,2.49,7.452
1989-06-01,0.04,0.128
1989-07-01,0.27,0.808
1989-08-01,0.07,0.2
1989-09-01,13.83,41.358
1989-10-01,30.7,91.807
1989-11-01,6.5,19.45
1989-12-01,6.41,19.173
1990-01-01,6.49,19.397
1990-02-01,20.14,60.226
1990-03-01,14.61,43.692
1990-04-01,4.43,13.258
1990-05-01,1.15,3.428
1990-06-01,1.96,5.865
1990-07-01,0.03,0.096
1990-08-01,0.07,0.2
1990-09-01,0.73,2.174
1990-10-01,18.92,56.593
1990-11-01,30.29,90.598
1990-12-01,9.59,28.696
1991-01-01,8.72,26.08
1991-02-01,17.68,52.885
1991-03-01,21.39,63.966
1991-04-01,6.73,20.133
1991-05-01,0.63,1.895
1991-06-01,0.4,1.197
1991-07-01,0.86,2.58
1991-08-01,1.18,3.518
1991-09-01,0.45,1.351
1991-10-01,8.7,26.009
1991-11-01,14.19,42.448
