date,caudal_angostura_m3s,volumen_angostura_mmc
2002-05-01,27.193,72.835
2002-06-01,18.697,48.462
2002-07-01,19.787,52.998
2002-08-01,28.361,75.961
2002-09-01,63.268,163.992
2002-10-01,24.245,64.938
2002-11-01,20.755,53.797
2002-12-01,22.717,60.844
2003-01-01,39.927,106.941
2003-02-01,47.398,114.666
2003-03-01,71.557,191.657
2003-05-01,18.956,50.771
2003-06-01,16.125,41.797
2003-07-01,13.226,35.425
2003-08-01,12.583,33.701
2003-09-01,12.542,32.508
2003-10-01,12.153,32.551
2003-11-01,9.501,24.626
2003-12-01,6.64,17.784
2004-01-01,65.104,174.375
2004-02-01,92.289,231.24
2004-03-01,50.29,134.696
2004-04-01,30.858,79.983
2004-05-01,19.108,51.179
2004-06-01,15.689,40.667
2004-07-01,16.002,42.86
2004-08-01,14.255,38.181
2004-09-01,11.977,31.046
2004-10-01,8.097,21.687
2004-11-01,9.713,25.176
2004-12-01,4.097,10.974
2005-01-01,12.194,32.661
2005-02-01,38.59,93.356
2005-03-01,30.077,80.558
2005-04-01,19.081,49.458
2005-05-01,3.177,8.51
2005-06-01,1.611,4.176
2005-07-01,1.758,4.709
2005-08-01,1.811,4.85
2005-09-01,2.334,6.05
2005-10-01,1.782,4.774
2005-11-01,2.448,6.346
2005-12-01,4.407,11.803
2006-01-01,33.848,90.659
2006-02-01,75.332,182.242
2006-03-01,78.245,209.571
2006-04-01,38.53,99.87
2006-05-01,11.948,32.002
2006-06-01,5.465,14.165
2006-07-01,5.932,15.887
2006-08-01,4.721,12.644
2006-09-01,4.681,12.134
2006-10-01,4.632,12.407
2006-11-01,6.341,16.436
2006-12-01,5.099,13.657
2007-01-01,34.402,92.142
2007-02-01,33.532,81.121
2007-03-01,55.0,147.312
2007-04-01,22.473,58.25
2007-05-01,8.008,21.449
2007-06-01,4.579,11.868
2007-07-01,3.13,8.382
2007-08-01,3.709,9.935
2007-09-01,3.391,8.788
2007-10-01,2.819,7.549
2007-12-01,4.702,12.594
2008-01-01,56.808,152.154
2008-02-01,34.046,85.305
2008-03-01,26.381,70.659
2008-04-01,9.924,25.722
2008-05-01,7.695,20.609
2008-06-01,6.53,16.926
2008-07-01,6.209,16.63
2008-09-01,4.867,12.616
2008-10-01,4.261,11.412
2008-11-01,0.738,1.912
2008-12-01,1.701,4.557
2009-01-01,14.886,39.87
2009-02-01,35.083,84.872
2009-03-01,86.86,232.646
2009-04-01,46.054,119.372
2009-05-01,21.494,57.57
2009-07-01,5.062,13.559
2009-08-01,5.925,15.868
2009-09-01,5.245,13.595
2009-10-01,5.731,15.351
2009-12-01,5.389,14.435
2010-01-01,28.384,76.024
2010-02-01,51.306,124.119
