date,precipitacion_cabanaconde_mm,precipitacion_tisco_mm,precipitacion_huambo_mm,precipitacion_madrigal_mm,precipitacion_chivay_mm,precipitacion_sibayo_mm,precipitacion_chuquibamba_mm,precipitacion_condoroma_mm,precipitacion_crucero_mm,precipitacion_imata_mm,precipitacion_angostura_mm,precipitacion_frayle_mm,precipitacion_pane_mm,precipitacion_caylloma_mm,precipitacion_yanque_mm,precipitacion_calera_mm,precipitacion_sumbay_mm,precipitacion_visuyo_mm,precipitacion_huanca_mm,precipitacion_aplao_mm,precipitacion_pampademajes_mm,precipitacion_porpera_mm,precipitacion_pampadearrieros_mm
1967-06-01,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.47,0.0,1.2,1.73,0.0,1.8,0.5,0.0,8.34,0.0,0.0,0.0,0.0,0.27,0.3,0.0
1967-07-01,0.0,8.2,1.2,7.2,2.81,15.3,0.0,2.77,8.5,8.5,1.3,2.8,6.6,18.4,1.5,5.27,0.07,18.5,0.0,0.0,0.0,5.7,0.0
1967-08-01,0.0,9.4,0.0,0.0,1.21,3.7,0.0,3.14,2.8,0.2,1.47,0.0,11.2,0.74,2.7,7.75,0.03,10.0,0.0,0.0,0.0,2.7,0.0
1967-09-01,25.5,41.8,6.2,18.5,19.6,21.9,0.01,33.0,81.0,39.9,28.19,18.3,30.7,33.6,9.4,7.68,25.44,64.0,0.0,0.01,0.0,38.8,2.5
1967-10-01,0.0,23.6,2.92,7.2,20.21,14.2,0.0,44.34,24.8,21.1,33.12,0.0,18.7,18.1,13.5,50.68,2.13,43.0,0.0,0.0,0.0,19.7,3.1
1967-11-01,0.0,12.72,2.62,10.6,12.5,20.2,0.0,41.48,30.4,11.91,22.12,2.0,9.8,9.8,9.3,38.22,8.9,23.0,0.0,0.0,0.0,13.1,3.5
1967-12-01,20.5,90.51,17.66,14.6,36.4,69.4,1.3,73.81,113.3,74.7,76.34,35.8,94.7,68.8,34.5,73.37,25.8,50.0,21.6,0.0,2.08,82.4,8.0
1968-01-01,187.9,266.0,101.14,143.3,132.61,211.0,88.4,237.37,376.8,176.7,240.72,116.3,171.2,263.3,120.4,109.18,158.12,201.0,118.14,1.44,3.13,250.8,113.0
1968-02-01,120.3,119.61,88.6,104.6,53.0,72.0,77.42,79.94,138.1,88.4,164.4,78.03,112.8,157.3,42.1,130.27,38.7,74.5,8.53,0.81,0.66,97.31,48.5
1968-03-01,210.5,180.7,170.94,329.4,125.8,177.1,21.94,138.47,232.1,142.2,175.56,87.74,124.7,150.8,111.3,63.02,100.45,164.5,12.88,0.24,0.98,145.8,80.5
1968-04-01,0.0,31.61,1.05,0.0,1.0,6.7,0.4,32.47,0.0,9.6,28.98,5.9,24.5,21.0,1.3,36.5,0.0,8.5,0.0,0.0,0.86,59.9,0.0
1968-05-01,17.0,4.03,6.32,0.0,14.9,13.2,0.0,7.99,0.0,6.6,5.36,1.71,5.9,21.5,14.4,0.0,0.01,19.0,0.0,0.0,0.0,1.2,0.0
1968-06-01,0.0,5.11,0.07,0.0,2.6,5.6,3.4,3.07,0.0,2.1,2.47,3.82,2.4,7.0,3.9,1.22,0.04,11.0,0.0,0.01,0.1,2.5,0.0
1968-07-01,0.0,5.5,0.05,0.0,3.2,4.5,0.0,0.97,8.5,3.9,2.26,0.3,5.6,8.0,3.6,4.66,0.01,10.0,0.0,0.0,0.0,12.1,0.0
1968-08-01,0.0,5.81,0.1,0.0,0.01,1.3,0.0,0.72,0.0,0.0,0.61,0.0,4.1,6.8,0.0,4.0,0.0,9.5,0.0,0.0,0.0,5.1,0.0
1968-09-01,0.0,20.02,0.05,0.0,5.51,6.0,0.0,18.98,2.8,2.5,26.59,2.3,24.2,23.5,10.0,31.7,0.0,14.0,0.0,0.01,0.12,17.6,0.0
1968-10-01,23.0,52.9,8.33,14.3,23.2,50.7,0.0,56.46,27.5,46.2,38.5,14.01,52.0,85.9,22.5,42.1,0.04,69.0,3.3,0.01,0.08,57.5,0.0
1968-11-01,38.5,84.64,30.4,122.53,18.21,51.0,14.2,114.44,63.4,107.6,96.0,43.42,78.9,90.5,28.4,74.4,41.91,48.5,6.2,0.02,0.01,109.39,10.3
1968-12-01,15.8,34.7,18.57,44.42,42.4,52.8,8.5,53.14,57.22,57.8,69.25,12.7,85.6,76.4,36.2,100.4,18.51,42.5,0.2,0.01,0.1,52.38,2.9
1969-01-01,62.7,150.04,30.75,78.82,46.7,89.4,27.2,124.52,177.12,108.9,159.79,59.01,150.0,110.0,47.8,164.5,30.14,65.0,13.7,1.31,0.9,171.83,18.8
1969-02-01,44.6,113.02,46.26,61.33,110.9,134.5,8.1,117.17,68.8,89.3,149.39,112.31,83.3,165.5,64.7,118.6,104.11,177.0,29.42,0.31,0.7,174.0,46.0
1969-03-01,77.85,52.45,52.07,57.81,102.0,94.7,55.2,51.07,72.02,70.0,71.36,62.91,71.2,98.3,56.9,124.8,44.25,89.0,21.63,0.03,0.31,164.91,30.0
1969-04-01,0.0,0.0,14.1,8.32,23.81,27.7,0.0,10.23,19.12,17.4,11.62,10.21,39.9,47.1,16.2,14.7,0.03,100.5,0.2,0.02,0.05,108.5,7.3
