date,precipitacion_la_raya_mm,precipitacion_llalli_mm,precipitacion_macusani_mm,precipitacion_sicuani_mm,precipitacion_ccatcca_mm,precipitacion_granja_kayra_mm,precipitacion_paruro_mm,precipitacion_paucartambo_mm,precipitacion_pisac_mm,precipitacion_pomacanchi_mm,precipitacion_urubamba_mm,precipitacion_cirialo_mm,precipitacion_curahuasi_mm,precipitacion_machupicchu_mm,precipitacion_quillabamba_mm,precipitacion_vilcabamba_mm,precipitacion_la_quebrada_mm,precipitacion_huyro_mm,precipitacion_chontachaca_mm,precipitacion_pakitza_mm,precipitacion_quincemil_mm
1973-05-01,52.0,1.0,12.0,13.0,14.6,14.0,23.6,34.0,12.5,43.0,15.9,95.4,2.8,29.7,58.2,16.0,55.0,80.3,532.0,244.0,244.0
1973-06-01,0.0,0.0,0.0,5.0,6.4,0.0,0.0,4.0,12.6,1.0,10.3,12.0,0.0,23.8,4.0,4.0,10.0,20.0,328.0,51.0,420.8
1973-07-01,0.0,6.0,1.0,12.0,9.4,9.1,9.0,9.0,15.1,5.0,21.3,84.4,3.9,42.3,37.8,8.0,7.0,28.4,237.0,23.0,326.5
1973-08-01,12.0,13.0,3.0,22.0,10.0,11.8,13.3,11.0,15.5,30.0,13.1,34.4,3.0,121.0,73.0,11.0,78.0,64.3,408.0,125.0,597.8
1973-09-01,50.0,47.0,46.0,16.0,18.6,14.5,31.1,3.5,10.6,15.0,11.8,49.2,20.9,169.2,66.2,81.0,28.0,97.8,326.0,44.0,220.2
1973-10-01,56.0,34.0,39.0,38.0,36.4,65.1,40.5,28.0,30.9,87.0,26.9,31.4,23.2,117.8,102.6,102.0,176.0,141.4,598.0,210.0,674.3
1973-11-01,95.0,58.0,46.0,59.0,72.2,88.8,112.2,19.0,49.7,91.0,69.5,75.2,90.5,195.1,179.9,98.0,111.0,140.6,410.0,172.0,532.6
1973-12-01,89.0,67.0,94.0,108.0,90.1,96.5,89.7,85.5,124.6,115.0,68.1,422.7,35.8,257.8,292.7,173.0,202.0,242.4,557.0,241.0,1139.4
1974-01-01,181.0,227.0,86.0,182.0,107.8,102.5,177.3,219.0,108.6,102.0,94.6,302.6,80.3,257.5,241.0,21.0,176.0,313.9,458.0,59.0,1183.9
1974-02-01,204.0,214.0,278.0,238.0,164.6,157.7,205.5,161.0,150.2,208.0,141.0,340.8,108.2,355.8,250.4,149.0,168.0,442.0,744.0,295.0,1101.0
1974-03-01,166.0,142.0,132.0,103.0,116.8,121.5,254.9,96.0,107.4,90.0,121.9,38.2,104.4,213.9,107.6,191.0,143.0,197.8,657.0,194.0,616.2
1974-04-01,69.0,103.0,16.0,36.0,43.4,34.5,62.0,97.0,44.9,98.0,45.4,191.4,31.6,257.7,152.8,120.0,138.0,192.2,612.0,486.0,501.7
1974-05-01,8.0,2.0,6.0,11.0,1.4,3.6,0.8,0.0,8.2,12.0,21.0,0.0,8.0,19.5,0.7,25.0,13.0,7.0,339.0,77.0,115.6
1974-06-01,8.0,19.0,0.0,17.0,5.8,8.2,10.2,0.0,14.0,15.0,25.4,0.0,7.9,26.6,3.0,6.0,22.0,43.3,407.0,87.0,345.7
1974-07-01,1.0,4.0,2.0,5.0,0.0,1.0,0.0,6.0,5.8,16.0,8.8,0.0,5.0,64.7,23.2,21.0,24.0,52.0,404.0,62.0,315.4
1974-08-01,36.0,96.0,118.0,26.0,58.8,34.6,37.8,118.0,26.9,24.0,38.4,4.9,14.3,126.3,79.1,17.0,19.0,115.8,233.0,84.0,258.4
1974-09-01,8.0,12.0,0.0,35.0,12.4,5.9,8.5,32.0,9.9,41.0,15.2,0.0,0.5,102.0,26.1,116.0,92.0,50.7,490.0,81.0,183.4
