date,caudal_supe_m3s,volumen_supe_mmc
1986-01-01,2.09,5.598
1986-02-01,2.12,5.129
1986-03-01,6.74,18.052
1986-04-01,7.60,19.699
1986-05-01,2.73,7.312
1986-06-01,0.44,1.140
1986-07-01,0.30,0.804
1986-08-01,0.30,0.804
1986-09-01,0.40,1.037
1986-10-01,0.30,0.804
1986-11-01,0.20,0.518
1986-12-01,1.00,2.678
1987-01-01,6.53,17.490
1987-02-01,9.96,24.095
1987-03-01,5.11,13.687
1987-04-01,1.31,3.396
1987-05-01,0.58,1.553
1987-06-01,0.38,0.985
1987-07-01,0.25,0.670
1987-08-01,0.19,0.509
1987-09-01,0.10,0.259
1987-10-01,0.08,0.214
1987-11-01,0.04,0.104
1987-12-01,0.61,1.634
1988-01-01,4.61,12.347
1988-02-01,11.72,29.366
1988-03-01,2.16,5.785
1988-04-01,5.55,14.386
1988-05-01,5.63,15.079
1988-06-01,2.47,6.402
1988-07-01,0.84,2.250
1988-08-01,0.64,1.714
1988-09-01,0.54,1.400
1988-10-01,0.45,1.205
1988-11-01,0.35,0.907
1988-12-01,0.48,1.286
1989-01-01,11.24,30.105
1989-02-01,24.79,59.972
1989-03-01,19.97,53.488
1989-04-01,10.52,27.268
1989-05-01,3.67,9.830
1989-06-01,0.86,2.229
1989-07-01,0.52,1.393
1989-08-01,0.18,0.482
1989-09-01,0.11,0.285
1989-10-01,0.08,0.214
1989-11-01,0.06,0.156
1989-12-01,0.03,0.080
1990-01-01,0.49,1.312
1990-02-01,1.76,4.258
1990-03-01,3.94,10.553
1990-04-01,1.15,2.981
1990-05-01,0.43,1.152
1990-06-01,0.16,0.415
1990-07-01,0.12,0.321
1990-08-01,0.11,0.295
1990-09-01,0.10,0.259
1990-10-01,0.32,0.857
1990-11-01,1.40,3.629
1990-12-01,1.79,4.794
1991-01-01,1.99,5.330
1991-02-01,3.86,9.338
1991-03-01,10.69,28.632
1991-04-01,5.40,13.997
1991-05-01,4.25,11.383
1991-06-01,2.60,6.739
1991-07-01,1.93,5.169
1991-08-01,1.54,4.125
1991-09-01,1.01,2.618
1991-10-01,0.70,1.875
1991-11-01,0.81,2.100
1991-12-01,0.93,2.491
1992-01-01,1.17,3.134
1992-02-01,0.48,1.203
1992-03-01,2.21,5.919
1992-04-01,1.00,2.592
1992-05-01,0.93,2.491
1992-06-01,0.90,2.333
1992-07-01,0.86,2.303
1992-08-01,0.80,2.143
1992-09-01,0.74,1.918
1992-10-01,0.70,1.875
1992-11-01,0.70,1.814
1992-12-01,0.70,1.875
1993-01-01,3.03,8.116
1993-02-01,8.55,20.684
1993-03-01,7.88,21.106
1993-04-01,4.62,11.975
1993-05-01,1.97,5.276
1993-06-01,0.88,2.281
1993-07-01,0.67,1.795
1993-08-01,0.57,1.527
1993-09-01,0.51,1.322
1993-10-01,0.50,1.339
1993-11-01,1.71,4.432
1993-12-01,1.90,5.089
1994-01-01,5.10,13.660
1994-02-01,10.23,24.748
1994-03-01,9.19,24.614
1994-04-01,6.45,16.718
1994-05-01,1.68,4.500
1994-06-01,0.95,2.462
1994-07-01,0.70,1.875
1994-08-01,0.72,1.928
1994-09-01,0.71,1.840
1994-10-01,0.67,1.795
1994-11-01,0.65,1.685
1994-12-01,0.69,1.848
1995-01-01,1.23,3.294
1995-02-01,2.41,5.830
1995-03-01,3.00,8.035
1995-04-01,2.15,5.573
1995-05-01,0.87,2.330
1995-06-01,0.77,1.996
1995-07-01,0.68,1.821
1995-08-01,0.60,1.607
1995-09-01,0.60,1.555
1995-10-01,0.53,1.420
1995-11-01,0.53,1.374
1995-12-01,0.56,1.500
1996-01-01,3.14,8.410
1996-02-01,11.42,28.614
1996-03-01,12.62,33.801
1996-04-01,9.12,23.639
1996-05-01,2.20,5.892
1996-06-01,1.53,3.966
1996-07-01,0.81,2.170
1996-08-01,0.62,1.661
1996-09-01,0.65,1.685
1996-10-01,0.59,1.580
1996-11-01,0.56,1.452
1996-12-01,0.54,1.446
1997-01-01,0.53,1.420
1997-02-01,6.75,16.330
1997-03-01,5.56,14.892
1997-04-01,0.94,2.436
1997-05-01,0.32,0.857
1997-06-01,0.13,0.337
1997-07-01,0.07,0.187
1997-08-01,0.47,1.259
1997-09-01,0.46,1.192
1997-10-01,0.46,1.232
1997-11-01,0.72,1.866
1997-12-01,10.38,27.802
1998-01-01,16.99,45.506
1998-02-01,19.85,48.021
1998-03-01,20.24,54.211
1998-04-01,10.90,28.253
1998-05-01,2.17,5.812
1998-06-01,0.78,2.022
1998-07-01,0.52,1.393
1998-08-01,0.47,1.259
1998-09-01,0.46,1.192
1998-10-01,0.46,1.232
1998-11-01,0.46,1.192
1998-12-01,0.43,1.152
1999-01-01,0.66,1.768
1999-02-01,13.40,32.417
1999-03-01,10.13,27.132
1999-04-01,6.27,16.252
1999-05-01,3.37,9.026
1999-06-01,1.54,3.992
1999-07-01,0.88,2.357
1999-08-01,0.82,2.196
1999-09-01,0.90,2.333
1999-10-01,1.00,2.678
1999-11-01,1.00,2.592
1999-12-01,1.23,3.294
2000-01-01,2.56,6.857
2000-02-01,10.41,26.083
2000-03-01,10.16,27.213
2000-04-01,6.67,17.289
2000-05-01,1.98,5.303
2000-06-01,0.99,2.566
2000-07-01,1.53,4.098
2000-08-01,0.92,2.464
2000-09-01,0.80,2.074
2000-10-01,0.87,2.330
2000-11-01,0.77,1.996
2000-12-01,1.57,4.205
2001-01-01,19.10,51.157
2001-02-01,14.62,35.369
2001-03-01,13.58,36.373
2001-04-01,11.45,29.678
2001-05-01,5.34,14.303
2001-06-01,3.92,10.161
2001-07-01,3.50,9.374
2001-08-01,2.18,5.839
2001-09-01,0.83,2.151
2001-10-01,0.80,2.143
2001-11-01,1.50,3.888
2001-12-01,0.96,2.571
2002-01-01,1.20,3.214
2002-02-01,7.43,17.975
2002-03-01,11.66,31.230
2002-04-01,12.80,33.178
2002-05-01,3.44,9.214
2002-06-01,2.22,5.754
2002-07-01,2.21,5.919
