date,precipitacion_cuencaocona_mm
1983-01-01,72.7
1983-02-01,80.2
1983-03-01,77.1
1983-04-01,20.4
1983-05-01,3.4
1983-06-01,1.8
1983-07-01,2.5
1983-08-01,4.7
1983-09-01,5.2
1983-10-01,7.4
1983-11-01,6.3
1983-12-01,21.1
1984-01-01,52.8
1984-02-01,56.4
1984-03-01,57.0
1984-04-01,16.1
1984-05-01,2.7
1984-06-01,1.5
1984-07-01,1.9
1984-08-01,3.8
1984-09-01,9.0
1984-10-01,12.7
1984-11-01,13.8
1984-12-01,43.9
1985-01-01,111.5
1985-02-01,128.3
1985-03-01,115.7
1985-04-01,27.2
1985-05-01,4.6
1985-06-01,2.4
1985-07-01,3.4
1985-08-01,6.5
1985-09-01,7.6
1985-10-01,11.3
1985-11-01,12.5
1985-12-01,38.5
1986-01-01,93.4
1986-02-01,108.1
1986-03-01,96.9
1986-04-01,23.2
1986-05-01,4.0
1986-06-01,2.2
1986-07-01,2.9
1986-08-01,6.0
1986-09-01,8.0
1986-10-01,11.5
1986-11-01,12.2
1986-12-01,38.9
1987-01-01,97.6
1987-02-01,113.2
1987-03-01,102.4
1987-04-01,24.0
1987-05-01,4.1
1987-06-01,2.3
1987-07-01,3.0
1987-08-01,6.0
1987-09-01,5.7
1987-10-01,8.0
1987-11-01,7.3
1987-12-01,24.2
1988-01-01,61.0
1988-02-01,67.4
1988-03-01,64.4
1988-04-01,17.1
1988-05-01,2.9
1988-06-01,1.6
1988-07-01,2.1
1988-08-01,4.2
1988-09-01,8.2
1988-10-01,11.5
1988-11-01,12.1
1988-12-01,38.6
1989-01-01,96.6
1989-02-01,109.3
1989-03-01,101.4
1989-04-01,24.9
1989-05-01,4.2
1989-06-01,2.2
1989-07-01,3.1
1989-08-01,5.8
1989-09-01,7.4
1989-10-01,10.3
1989-11-01,10.4
1989-12-01,33.7
1990-01-01,84.9
1990-02-01,94.9
1990-03-01,89.7
1990-04-01,22.8
1990-05-01,3.8
1990-06-01,1.9
1990-07-01,2.7
1990-08-01,5.2
1990-09-01,7.1
1990-10-01,9.9
1990-11-01,9.6
1990-12-01,31.4
1991-01-01,79.0
1991-02-01,87.5
1991-03-01,84.2
1991-04-01,21.7
1991-05-01,3.6
1991-06-01,1.9
1991-07-01,2.6
1991-08-01,5.0
1991-09-01,7.2
1991-10-01,10.0
1991-11-01,9.7
1991-12-01,32.4
1992-01-01,83.6
1992-02-01,94.4
1992-03-01,88.5
1992-04-01,21.8
1992-05-01,3.7
1992-06-01,1.9
1992-07-01,2.7
1992-08-01,5.1
1992-09-01,4.2
1992-10-01,5.9
1992-11-01,4.4
1992-12-01,15.3
1993-01-01,38.7
1993-02-01,40.5
1993-03-01,41.1
1993-04-01,12.4
1993-05-01,2.2
1993-06-01,1.3
1993-07-01,1.6
1993-08-01,3.1
1993-09-01,7.1
1993-10-01,10.0
1993-11-01,10.0
1993-12-01,32.3
1994-01-01,80.9
1994-02-01,91.2
1994-03-01,85.5
1994-04-01,21.5
1994-05-01,3.6
1994-06-01,2.0
1994-07-01,2.7
1994-08-01,5.1
1994-09-01,6.7
1994-10-01,9.5
1994-11-01,8.6
1994-12-01,30.0
1995-01-01,79.5
1995-02-01,90.6
1995-03-01,86.1
1995-04-01,20.9
1995-05-01,3.5
1995-06-01,1.8
1995-07-01,2.4
1995-08-01,4.8
1995-09-01,7.4
1995-10-01,10.3
1995-11-01,10.2
1995-12-01,33.2
1996-01-01,83.5
1996-02-01,93.0
1996-03-01,88.7
1996-04-01,22.6
1996-05-01,3.8
1996-06-01,1.9
1996-07-01,2.7
1996-08-01,5.2
1996-09-01,7.6
1996-10-01,10.8
1996-11-01,10.8
1996-12-01,35.5
1997-01-01,91.0
1997-02-01,102.8
1997-03-01,95.7
1997-04-01,23.4
1997-05-01,3.9
1997-06-01,2.0
1997-07-01,2.9
1997-08-01,5.5
1997-09-01,8.4
1997-10-01,12.0
1997-11-01,12.8
1997-12-01,40.8
1998-01-01,103.7
1998-02-01,119.4
1998-03-01,108.4
1998-04-01,25.7
1998-05-01,4.3
1998-06-01,2.3
1998-07-01,3.2
1998-08-01,6.2
1998-09-01,8.7
1998-10-01,12.6
1998-11-01,11.6
1998-12-01,41.7
1999-01-01,114.4
1999-02-01,134.1
1999-03-01,125.7
1999-04-01,29.0
1999-05-01,4.4
1999-06-01,2.0
1999-07-01,2.9
1999-08-01,5.9
1999-09-01,10.3
1999-10-01,14.3
1999-11-01,15.2
1999-12-01,50.2
2000-01-01,130.5
2000-02-01,149.9
2000-03-01,137.1
2000-04-01,31.7
2000-05-01,5.2
2000-06-01,2.6
2000-07-01,3.8
2000-08-01,7.1
2000-09-01,8.9
2000-10-01,12.6
2000-11-01,13.2
2000-12-01,42.6
2001-01-01,108.4
2001-02-01,124.5
2001-03-01,114.0
2001-04-01,27.1
2001-05-01,4.5
2001-06-01,2.4
2001-07-01,3.3
2001-08-01,6.4
2001-09-01,8.6
2001-10-01,12.2
2001-11-01,12.6
2001-12-01,40.9
2002-01-01,104.5
2002-02-01,119.3
2002-03-01,110.4
2002-04-01,26.5
2002-05-01,4.4
2002-06-01,2.3
2002-07-01,3.2
2002-08-01,6.1
2002-09-01,8.7
2002-10-01,12.2
2002-11-01,12.8
2002-12-01,41.4
2003-01-01,103.8
2003-02-01,117.9
2003-03-01,109.6
2003-04-01,26.5
2003-05-01,4.4
2003-06-01,2.3
2003-07-01,3.2
2003-08-01,6.1
2003-09-01,5.7
2003-10-01,8.0
2003-11-01,7.2
2003-12-01,23.7
2004-01-01,59.1
2004-02-01,64.5
2004-03-01,63.2
2004-04-01,17.2
2004-05-01,2.9
2004-06-01,1.6
2004-07-01,2.1
2004-08-01,4.1
2004-09-01,6.2
2004-10-01,8.8
2004-11-01,8.5
2004-12-01,27.9
2005-01-01,71.6
2005-02-01,81.1
2005-03-01,75.4
2005-04-01,18.7
2005-05-01,3.2
2005-06-01,1.8
2005-07-01,2.3
2005-08-01,4.7
2005-09-01,5.8
2005-10-01,8.2
2005-11-01,7.4
2005-12-01,24.5
2006-01-01,60.9
2006-02-01,67.1
2006-03-01,65.0
2006-04-01,17.3
2006-05-01,3.0
2006-06-01,1.7
2006-07-01,2.2
2006-08-01,4.2
