date,caudal_aguas_calientes_m3_s,volumen_aguas_calientes_mmc
1955-07-01,0.79,2.1159
1955-08-01,0.76,2.0356
1955-09-01,0.67,1.7366
1955-10-01,0.66,1.7677
1955-11-01,0.78,2.0218
1956-01-01,0.78,2.0892
1956-02-01,0.95,2.3803
1956-03-01,0.79,2.1159
1956-04-01,0.72,1.8662
1956-05-01,0.65,1.741
1956-06-01,0.64,1.6589
1956-07-01,0.61,1.6338
1956-08-01,0.61,1.6338
1956-09-01,0.61,1.5811
1956-10-01,0.61,1.6338
1956-11-01,0.66,1.7107
1956-12-01,0.72,1.9284
1957-01-01,0.69,1.8481
1957-02-01,0.8,1.9354
1957-03-01,0.89,2.3838
1957-04-01,0.48,1.2442
1957-05-01,0.67,1.7945
1957-06-01,0.69,1.7885
1957-07-01,0.64,1.7142
1957-08-01,0.63,1.6874
1957-09-01,0.72,1.8662
1957-10-01,0.61,1.6338
1957-11-01,0.67,1.7366
1957-12-01,0.99,2.6516
1958-01-01,1.31,3.5087
1958-02-01,1.06,2.5644
1958-03-01,1.49,3.9908
1958-04-01,0.79,2.0477
1958-05-01,0.63,1.6874
1958-06-01,0.62,1.607
1958-07-01,0.63,1.6874
1958-08-01,0.61,1.6338
1958-09-01,0.62,1.607
1958-10-01,0.66,1.7677
1958-11-01,0.61,1.5811
1958-12-01,0.62,1.6606
1959-01-01,0.71,1.9017
1959-02-01,1.06,2.5644
1959-03-01,1.49,3.9908
1959-04-01,0.79,2.0477
1959-05-01,0.63,1.6874
1959-06-01,0.62,1.607
1959-07-01,0.63,1.6874
1959-08-01,0.6,1.607
1959-09-01,0.6,1.5552
1959-10-01,0.6,1.607
1959-11-01,0.61,1.5811
1959-12-01,0.67,1.7945
1960-01-01,0.71,1.9017
1960-02-01,0.85,2.1298
1960-03-01,0.73,1.9552
1960-04-01,0.73,1.8922
1960-05-01,0.6,1.607
1960-06-01,0.61,1.5811
1960-07-01,0.61,1.6338
1960-08-01,0.61,1.6338
1960-09-01,0.55,1.4256
1960-10-01,0.51,1.366
1960-11-01,0.53,1.3738
1960-12-01,0.73,1.9552
1961-01-01,1.55,4.1515
1961-02-01,2.13,5.1529
1961-03-01,1.04,2.7855
1961-04-01,0.65,1.6848
1961-05-01,0.6,1.607
1961-06-01,0.57,1.4774
1961-07-01,0.55,1.4731
1961-08-01,0.51,1.366
1961-09-01,0.53,1.3738
1962-01-01,1.02,2.732
1962-02-01,1.29,3.1208
1962-03-01,0.75,2.0088
1962-04-01,0.76,1.9699
1962-05-01,0.53,1.4196
1962-06-01,0.5,1.296
1962-07-01,0.52,1.3928
1962-08-01,0.5,1.3392
1962-09-01,0.55,1.4256
1962-10-01,0.53,1.4196
1962-11-01,0.56,1.4515
1962-12-01,0.59,1.5803
1963-01-01,0.77,2.0624
1963-02-01,1.84,4.4513
1963-03-01,2.07,5.5443
1963-04-01,0.76,1.9699
1963-05-01,0.63,1.6874
1963-06-01,0.6,1.5552
1963-07-01,0.54,1.4463
1963-08-01,0.58,1.5535
1963-09-01,0.54,1.3997
1963-10-01,0.6,1.607
1963-11-01,0.62,1.607
1963-12-01,0.65,1.741
1964-01-01,0.49,1.3124
1964-02-01,0.78,1.9544
1964-03-01,1.05,2.8123
1964-04-01,0.96,2.4883
1964-05-01,0.81,2.1695
1964-06-01,0.79,2.0477
1964-07-01,0.83,2.2231
1964-08-01,0.73,1.9552
1964-09-01,0.58,1.5034
1964-10-01,0.6,1.607
1964-11-01,0.6,1.5552
1964-12-01,0.62,1.6606
1965-01-01,0.61,1.6338
1965-02-01,1.01,2.4434
1965-03-01,0.69,1.8481
1965-04-01,0.59,1.5293
1965-05-01,0.69,1.8481
1965-06-01,0.62,1.607
1965-07-01,0.63,1.6874
1965-08-01,0.53,1.4196
1965-09-01,0.55,1.4256
1965-10-01,0.52,1.3928
1965-11-01,0.44,1.1405
1965-12-01,0.47,1.2588
1966-01-01,0.54,1.4463
1966-02-01,0.73,1.766
1966-03-01,0.7,1.8749
1966-04-01,0.57,1.4774
1966-05-01,0.54,1.4463
1966-06-01,0.53,1.3738
1966-07-01,0.55,1.4731
1966-08-01,0.56,1.4999
1966-09-01,0.54,1.3997
1966-10-01,0.52,1.3928
1966-11-01,0.56,1.4515
1966-12-01,0.61,1.6338
1967-01-01,0.49,1.3124
1967-02-01,0.78,1.887
1967-03-01,1.01,2.7052
1967-04-01,0.53,1.3738
1967-05-01,0.7,1.8749
1967-06-01,0.65,1.6848
1967-07-01,0.73,1.9552
1967-08-01,0.72,1.9284
1967-09-01,0.71,1.8403
1967-10-01,0.68,1.8213
1967-11-01,0.64,1.6589
1967-12-01,0.65,1.741
1968-01-01,0.92,2.4641
1968-02-01,1.55,3.8837
1968-03-01,1.66,4.4461
1968-04-01,0.99,2.5661
1968-05-01,0.96,2.5713
1968-06-01,0.94,2.4365
1968-07-01,0.79,2.1159
1968-08-01,0.66,1.7677
1968-09-01,0.62,1.607
1968-10-01,0.59,1.5803
1968-11-01,0.56,1.4515
1968-12-01,0.6,1.607
1969-01-01,1.83,4.9015
1969-02-01,3.86,9.3381
1969-03-01,1.38,3.6962
1969-04-01,0.76,1.9699
1969-05-01,0.7,1.8749
1969-06-01,0.77,1.9958
1969-07-01,0.78,2.0892
1969-08-01,0.75,2.0088
1969-09-01,0.61,1.5811
1969-10-01,0.59,1.5803
1969-11-01,0.56,1.4515
1969-12-01,0.57,1.5267
1970-01-01,0.75,2.0088
1970-02-01,0.85,2.0563
1970-03-01,0.71,1.9017
1970-04-01,0.56,1.4515
1970-05-01,0.53,1.4196
1970-06-01,0.52,1.3478
1970-07-01,0.55,1.4731
1970-08-01,0.56,1.4999
1970-09-01,0.57,1.4774
1970-10-01,0.56,1.4999
1970-11-01,0.57,1.4774
1970-12-01,0.65,1.741
1971-01-01,0.77,2.0624
1971-02-01,1.6,3.8707
1971-03-01,0.87,2.3302
1971-04-01,0.56,1.4515
1971-05-01,0.54,1.4463
1971-06-01,0.57,1.4774
1971-07-01,0.55,1.4731
1971-08-01,0.51,1.366
1971-09-01,0.53,1.3738
1971-10-01,0.44,1.1785
1971-11-01,0.44,1.1405
1971-12-01,0.47,1.2588
1972-01-01,1.71,4.5801
1972-02-01,3.05,7.6421
1972-03-01,2.92,7.8209
1972-04-01,1.06,2.7475
1972-05-01,0.68,1.8213
1972-06-01,0.59,1.5293
1972-07-01,0.57,1.5267
1972-08-01,0.51,1.366
1972-09-01,0.53,1.3738
1972-10-01,0.44,1.1785
1972-11-01,0.44,1.1405
1972-12-01,0.47,1.2588
1973-01-01,1.13,3.0266
1973-02-01,2.61,6.3141
1973-03-01,2.06,5.5175
1973-04-01,0.87,2.255
1973-05-01,0.76,2.0356
1973-06-01,0.69,1.7885
1973-07-01,0.69,1.8481
1973-08-01,0.58,1.5535
1973-09-01,0.56,1.4515
