date,caudal_piedras_blancas_m3_s,volumen_piedras_blancas_mmc
1967-07-01,0.54,1.4463
1967-08-01,0.52,1.3928
1967-09-01,0.43,1.1146
1967-10-01,0.38,1.0178
1967-11-01,0.29,0.7517
1967-12-01,0.4,1.0714
1968-01-01,0.62,1.6606
1968-02-01,0.74,1.8541
1968-03-01,0.84,2.2499
1968-04-01,0.51,1.3219
1968-05-01,0.41,1.0981
1968-06-01,0.52,1.3478
1968-07-01,0.54,1.4463
1968-08-01,0.44,1.1785
1968-09-01,0.45,1.1664
1968-10-01,0.62,1.6606
1968-11-01,0.55,1.4256
1968-12-01,0.57,1.5267
1969-01-01,0.54,1.4463
1969-02-01,0.87,2.1047
1969-03-01,0.64,1.7142
1969-04-01,0.41,1.0627
1969-05-01,0.51,1.366
1969-06-01,0.6,1.5552
1969-07-01,0.62,1.6606
1969-08-01,0.61,1.6338
1969-09-01,0.53,1.3738
1969-10-01,0.47,1.2588
1969-11-01,0.48,1.2442
1969-12-01,0.61,1.6338
1970-01-01,0.64,1.7142
1970-02-01,0.72,1.7418
1970-03-01,0.61,1.6338
1970-04-01,0.48,1.2442
1970-05-01,0.35,0.9374
1970-06-01,0.52,1.3478
1970-07-01,0.53,1.4196
1970-08-01,0.57,1.5267
1970-09-01,0.52,1.3478
1970-10-01,0.4,1.0714
1970-11-01,0.46,1.1923
1970-12-01,0.41,1.0981
1971-01-01,0.59,1.5803
1971-02-01,0.8,1.9354
1971-03-01,0.76,2.0356
1971-04-01,0.5,1.296
1971-05-01,0.45,1.2053
1971-06-01,0.43,1.1146
1971-07-01,0.43,1.1517
1971-08-01,0.44,1.1785
1971-09-01,0.41,1.0627
1971-10-01,0.41,1.0981
1971-11-01,0.39,1.0109
1971-12-01,0.5,1.3392
1972-01-01,0.59,1.5803
1972-02-01,0.75,1.8792
1972-03-01,0.91,2.4373
1972-04-01,0.4,1.0368
1972-05-01,0.75,2.0088
1972-06-01,0.8,2.0736
1972-07-01,0.8,2.1427
1972-08-01,0.65,1.741
1972-09-01,0.61,1.5811
1972-10-01,0.46,1.2321
1972-11-01,0.41,1.0627
1972-12-01,0.44,1.1785
1973-01-01,0.75,2.0088
1973-02-01,1.59,3.8465
1973-03-01,1.29,3.4551
1973-04-01,0.57,1.4774
1973-05-01,0.38,1.0178
1973-06-01,0.61,1.5811
1973-07-01,0.59,1.5803
1973-08-01,0.65,1.741
1973-09-01,0.63,1.633
1973-10-01,0.53,1.4196
1973-11-01,0.44,1.1405
1973-12-01,0.48,1.2856
1974-01-01,0.67,1.7945
1974-02-01,0.63,1.5241
1974-03-01,0.91,2.4373
1974-04-01,0.66,1.7107
1974-05-01,0.41,1.0981
1974-06-01,0.57,1.4774
1974-07-01,0.74,1.982
1974-08-01,0.55,1.4731
1974-09-01,0.43,1.1146
1974-10-01,0.53,1.4196
1974-11-01,0.49,1.2701
1974-12-01,0.66,1.7677
1975-01-01,0.69,1.8481
1975-02-01,0.63,1.5241
1975-03-01,0.91,2.4373
1975-04-01,0.66,1.7107
1975-05-01,0.57,1.5267
1975-06-01,0.74,1.9181
1975-07-01,0.72,1.9284
1975-08-01,0.58,1.5535
1975-09-01,0.41,1.0627
1975-10-01,0.44,1.1785
1975-11-01,0.5,1.296
1975-12-01,0.44,1.1785
1976-01-01,0.86,2.3034
1976-02-01,1.11,2.7812
1976-03-01,1.87,5.0086
1976-04-01,0.73,1.8922
1976-05-01,0.7,1.8749
1976-06-01,0.64,1.6589
1976-07-01,0.56,1.4999
1976-08-01,0.44,1.1785
1976-09-01,0.22,0.5702
1976-10-01,0.21,0.5625
1976-11-01,0.44,1.1405
1976-12-01,0.44,1.1785
1977-01-01,0.39,1.0446
1977-02-01,0.54,1.3064
1977-03-01,0.62,1.6606
1977-04-01,0.39,1.0109
1977-05-01,0.32,0.8571
1977-06-01,0.4,1.0368
1977-07-01,0.33,0.8839
1977-08-01,0.42,1.1249
1977-09-01,0.45,1.1664
1977-10-01,0.44,1.1785
1977-11-01,0.42,1.0886
1977-12-01,0.44,1.1785
1978-01-01,0.6,1.607
1978-02-01,0.55,1.3306
1978-03-01,0.44,1.1785
1978-04-01,0.42,1.0886
1978-05-01,0.27,0.7232
1978-06-01,0.29,0.7517
1978-07-01,0.43,1.1517
1978-08-01,0.59,1.5803
1978-09-01,0.45,1.1664
1978-10-01,0.5,1.3392
1978-11-01,0.54,1.3997
1978-12-01,0.53,1.4196
1979-01-01,0.68,1.8213
1979-02-01,0.51,1.2338
1979-03-01,0.88,2.357
1979-04-01,0.58,1.5034
1979-05-01,0.54,1.4463
1979-06-01,0.47,1.2182
1979-07-01,0.51,1.366
1979-08-01,0.52,1.3928
1979-09-01,0.57,1.4774
1979-10-01,0.61,1.6338
1979-11-01,0.61,1.5811
1980-01-01,0.46,1.2321
1980-02-01,0.46,1.1526
1980-03-01,0.61,1.6338
1980-04-01,0.48,1.2442
1980-05-01,0.55,1.4731
1980-06-01,0.7,1.8144
1980-07-01,0.68,1.8213
1980-08-01,0.58,1.5535
1980-09-01,0.57,1.4774
1980-10-01,0.73,1.9552
1980-11-01,0.61,1.5811
1980-12-01,0.83,2.2231
1981-01-01,0.7,1.8749
1981-02-01,0.87,2.1047
1981-03-01,0.62,1.6606
1981-04-01,0.58,1.5034
1981-05-01,0.74,1.982
1981-06-01,0.66,1.7107
1981-08-01,0.68,1.8213
1982-01-01,0.98,2.6248
1982-02-01,1.12,2.7095
1982-03-01,0.84,2.2499
1982-04-01,0.69,1.7885
1982-05-01,0.77,2.0624
1982-06-01,0.75,1.944
1982-07-01,0.73,1.9552
1982-08-01,0.7,1.8749
1982-09-01,0.7,1.8144
1982-10-01,0.94,2.5177
1982-11-01,0.88,2.281
1982-12-01,0.72,1.9284
1983-01-01,0.66,1.7677
1983-02-01,0.6,1.4515
1983-03-01,0.65,1.741
1983-04-01,0.64,1.6589
1983-05-01,0.69,1.8481
1983-06-01,0.68,1.7626
1983-07-01,0.67,1.7945
1983-08-01,0.6,1.607
1983-09-01,0.58,1.5034
1983-10-01,0.6,1.607
1983-11-01,0.63,1.633
1984-01-01,0.83,2.2231
1984-02-01,0.9,2.255
1984-03-01,0.85,2.2766
1984-04-01,0.71,1.8403
1984-05-01,0.76,2.0356
1984-06-01,0.72,1.8662
1984-07-01,0.73,1.9552
1986-01-01,1.41,3.7765
1986-02-01,1.9,4.5965
1986-03-01,1.28,3.4284
1986-04-01,1.2,3.1104
1986-05-01,0.87,2.3302
1986-06-01,1.05,2.7216
1986-08-01,1.11,2.973
1986-09-01,0.94,2.4365
1986-10-01,0.96,2.5713
1986-11-01,0.97,2.5142
1986-12-01,1.03,2.7588
1987-01-01,1.15,3.0802
1987-02-01,1.07,2.5885
1987-03-01,1.32,3.5355
1987-04-01,0.92,2.3846
1987-05-01,0.88,2.357
1987-06-01,0.75,1.944
1987-07-01,0.67,1.7945
1987-08-01,0.91,2.4373
1987-09-01,0.78,2.0218
1987-10-01,0.94,2.5177
1987-11-01,0.88,2.281
1987-12-01,0.89,2.3838
1988-01-01,0.95,2.5445
1988-02-01,0.83,2.0796
1988-03-01,0.8,2.1427
1988-04-01,0.85,2.2032
1988-05-01,0.69,1.8481
1988-07-01,1.0,2.6784
1989-01-01,1.01,2.7052
1989-02-01,1.0,2.4192
1989-03-01,0.73,1.9552
1989-04-01,1.08,2.7994
1989-05-01,1.04,2.7855
1989-06-01,0.91,2.3587
1989-07-01,0.79,2.1159
1989-08-01,0.81,2.1695
1989-09-01,0.91,2.3587
1989-10-01,0.94,2.5177
1989-11-01,0.99,2.5661
1989-12-01,0.93,2.4909
