date,caudal_antapucro_m3s,volumen_antapucro_mmc,caudal_manchay_m3s,volumen_manchay_mmc
1977-09-01,0.033,0.09,0.0,0.0
1977-10-01,0.193,0.52,0.0,0.0
1977-11-01,2.538,6.58,2.563,6.64
1977-12-01,3.252,8.71,3.067,8.21
1978-01-01,6.127,16.41,6.503,17.42
1978-02-01,4.981,12.05,4.836,11.7
1978-03-01,7.433,19.91,7.494,20.07
1978-04-01,4.633,12.01,4.91,12.73
1978-05-01,1.394,3.73,1.657,4.44
1978-06-01,0.413,1.07,0.766,1.99
1978-07-01,0.153,0.41,0.119,0.32
1978-08-01,0.053,0.14,0.062,0.17
1978-09-01,0.05,0.13,0.215,0.56
1978-10-01,0.275,0.74,0.369,0.99
1978-11-01,0.222,0.58,0.287,0.74
1978-12-01,2.003,5.36,2.154,5.77
1979-01-01,3.566,9.55,3.922,10.5
1979-02-01,5.559,13.45,5.851,14.15
1979-03-01,25.463,68.2,26.2,70.17
1979-04-01,7.921,20.53,9.545,24.74
1979-05-01,2.904,7.78,3.581,9.59
1979-06-01,0.976,2.53,0.957,2.48
1979-07-01,0.412,1.1,0.263,0.7
1979-08-01,0.151,0.4,0.035,0.09
1979-09-01,0.107,0.28,0.0,0.0
1979-10-01,0.171,0.46,0.0,0.0
1979-11-01,0.301,0.78,0.0,0.0
1979-12-01,0.914,2.45,0.899,2.41
1980-01-01,3.865,10.35,3.628,9.72
1980-02-01,5.505,13.79,5.634,14.12
1980-03-01,8.596,23.02,8.755,23.45
1980-04-01,2.854,7.4,3.571,9.26
1980-05-01,0.937,2.51,1.055,2.83
1980-06-01,0.245,0.64,0.134,0.35
1980-07-01,0.011,0.03,0.141,0.38
1980-08-01,0.0,0.0,0.353,0.95
1980-09-01,0.445,1.15,0.778,2.02
1980-10-01,0.503,1.35,0.453,1.21
1980-11-01,1.182,3.06,1.494,3.87
1980-12-01,1.245,3.33,1.581,4.23
1981-01-01,5.46,14.62,5.974,16.0
1981-02-01,11.406,27.59,11.52,27.87
1981-03-01,20.748,55.57,22.118,59.24
1981-04-01,11.449,29.68,12.439,32.24
1981-05-01,3.45,9.24,4.352,11.66
1981-06-01,1.147,2.97,1.763,4.57
1981-07-01,0.37,0.99,0.905,2.42
1981-08-01,0.225,0.6,0.759,2.03
1981-09-01,0.047,0.12,0.486,1.26
1981-10-01,0.006,0.02,0.0,0.0
1981-11-01,0.341,0.88,0.051,0.13
1981-12-01,5.29,14.17,4.462,11.95
1982-01-01,9.161,24.54,10.367,27.77
1982-02-01,17.682,42.78,19.134,46.29
1982-03-01,11.513,30.84,14.036,37.59
1982-04-01,5.085,13.18,6.324,16.39
1982-05-01,1.45,3.88,2.199,5.89
1982-06-01,0.474,1.23,0.752,1.95
1982-07-01,0.137,0.37,0.017,0.05
1982-08-01,0.076,0.2,0.025,0.07
1982-09-01,0.0,0.0,0.162,0.42
1982-10-01,1.943,5.2,1.852,4.96
1982-11-01,2.422,6.28,2.271,5.89
1982-12-01,1.379,3.69,1.226,3.28
1983-01-01,5.958,15.96,5.705,15.28
1983-02-01,10.488,25.37,9.803,23.72
1983-03-01,21.23,56.86,23.441,62.78
1983-04-01,7.672,19.89,9.947,25.78
1983-05-01,2.641,7.07,3.603,9.65
1983-06-01,0.893,2.31,1.042,2.7
1983-07-01,0.35,0.94,0.257,0.69
1983-08-01,0.147,0.39,0.125,0.33
1983-09-01,0.0,0.0,0.219,0.57
1983-10-01,0.137,0.37,0.0,0.0
1983-11-01,0.611,1.58,0.673,1.74
1983-12-01,4.647,12.45,4.398,11.78
1984-01-01,10.923,29.26,12.052,32.28
1984-02-01,20.942,52.47,23.053,57.76
1984-03-01,18.026,48.28,20.308,54.39
1984-04-01,9.225,23.91,11.189,29.0
1984-05-01,2.884,7.72,3.786,10.14
1984-06-01,0.972,2.52,1.534,3.98
1984-07-01,0.234,0.63,0.23,0.62
1984-08-01,0.016,0.04,0.05,0.13
1984-09-01,0.211,0.55,0.403,1.04
1984-10-01,5.799,15.53,6.174,16.54
1984-11-01,4.336,11.24,5.288,13.71
1984-12-01,4.839,12.96,5.876,15.74
1985-01-01,6.165,16.51,6.727,18.02
1985-02-01,8.682,21.0,8.753,21.18
1985-03-01,13.282,35.57,13.89,37.2
1985-04-01,7.962,20.64,8.324,21.58
1985-05-01,2.615,7.0,3.302,8.84
1985-06-01,0.9,2.33,0.88,2.28
1985-07-01,0.317,0.85,0.4,1.07
1985-08-01,0.251,0.67,0.152,0.41
1985-09-01,0.202,0.52,0.19,0.49
1985-10-01,0.354,0.95,0.188,0.5
1985-11-01,1.288,3.34,0.842,2.18
1985-12-01,5.149,13.79,5.237,14.03
1986-01-01,12.262,32.84,13.07,35.01
1986-02-01,14.501,35.08,16.315,39.47
1986-03-01,15.662,41.95,17.199,46.07
1986-04-01,8.531,22.11,10.03,26.0
1986-05-01,2.896,7.76,3.497,9.37
1986-06-01,1.0,2.59,1.348,3.49
1986-07-01,0.371,0.99,0.248,0.66
1986-08-01,0.185,0.5,0.024,0.06
1986-09-01,0.169,0.44,0.038,0.1
1986-10-01,0.047,0.13,0.0,0.0
1986-11-01,0.5,1.3,0.529,1.37
1986-12-01,6.543,17.52,6.305,16.89
1987-01-01,12.983,34.77,12.917,34.6
1987-02-01,7.663,18.54,8.056,19.49
1987-03-01,8.899,23.84,9.925,26.58
1987-04-01,2.898,7.51,3.525,9.14
1987-05-01,0.953,2.55,1.263,3.38
1987-06-01,0.374,0.97,0.161,0.42
1987-07-01,0.112,0.3,0.091,0.24
1987-08-01,0.031,0.08,0.163,0.44
1987-09-01,0.156,0.4,0.075,0.19
1987-10-01,0.104,0.28,0.0,0.0
1987-11-01,0.348,0.9,0.335,0.87
1987-12-01,2.272,6.09,2.674,7.16
1988-01-01,7.619,20.41,8.795,23.56
1988-02-01,10.185,25.52,11.376,28.5
1988-03-01,7.537,20.19,9.033,24.19
1988-04-01,5.242,13.59,6.371,16.51
1988-05-01,2.075,5.56,2.818,7.55
1988-06-01,0.768,1.99,0.694,1.8
1988-07-01,0.372,1.0,0.026,0.07
1988-08-01,0.232,0.62,0.248,0.66
1988-09-01,0.395,1.02,0.714,1.85
1988-10-01,0.329,0.88,0.666,1.78
1988-11-01,3.226,8.36,3.856,9.99
1988-12-01,10.064,26.96,9.995,26.77
1989-01-01,16.612,44.49,17.39,46.58
1989-02-01,25.537,61.78,27.363,66.2
1989-03-01,22.237,59.56,24.736,66.25
1989-04-01,9.786,25.37,11.934,30.93
1989-05-01,2.93,7.85,4.341,11.63
1989-06-01,1.025,2.66,1.444,3.74
1989-07-01,0.405,1.08,0.406,1.09
1989-08-01,0.141,0.38,0.242,0.65
1989-09-01,0.042,0.11,0.276,0.72
1989-10-01,0.898,2.41,0.745,2.0
1989-11-01,0.362,0.94,0.196,0.51
1989-12-01,0.415,1.11,0.219,0.59
1990-01-01,3.074,8.23,3.513,9.41
1990-02-01,2.253,5.45,2.481,6.0
1990-03-01,5.526,14.8,6.3,16.87
1990-04-01,2.66,6.89,3.342,8.66
1990-05-01,0.909,2.43,1.063,2.85
1990-06-01,0.354,0.92,0.385,1.0
1990-07-01,0.145,0.39,0.29,0.78
1990-08-01,0.034,0.09,0.0,0.0
1990-09-01,0.154,0.4,0.147,0.38
1990-10-01,1.208,3.24,1.08,2.89
1990-11-01,5.815,15.07,6.5,16.85
1990-12-01,11.151,29.87,11.75,31.47
1991-01-01,9.092,24.35,10.102,27.06
1991-02-01,6.454,15.61,7.079,17.13
1991-03-01,12.538,33.58,14.005,37.51
1991-04-01,5.068,13.14,6.402,16.59
1991-05-01,1.466,3.93,2.026,5.43
1991-06-01,0.567,1.47,0.387,1.0
1991-07-01,0.193,0.52,0.242,0.65
1991-08-01,0.027,0.07,0.078,0.21
1991-09-01,0.026,0.07,0.227,0.59
1991-10-01,0.411,1.1,0.47,1.26
1991-11-01,0.987,2.56,1.008,2.61
1991-12-01,0.73,1.96,0.944,2.53
1992-01-01,2.165,5.8,2.562,6.86
1992-02-01,3.121,7.82,3.398,8.51
1992-03-01,5.478,14.67,6.336,16.97
1992-04-01,2.901,7.52,3.771,9.77
1992-05-01,0.877,2.35,1.245,3.33
1992-06-01,0.389,1.01,0.205,0.53
1992-07-01,0.249,0.67,0.124,0.33
1992-08-01,0.184,0.49,0.061,0.16
1992-09-01,0.265,0.69,0.0,0.0
1992-10-01,0.566,1.52,0.252,0.67
1992-11-01,0.232,0.6,0.0,0.0
1992-12-01,1.212,3.25,1.38,3.7
1993-01-01,7.155,19.16,7.822,20.95
1993-02-01,16.577,40.1,18.189,44.0
1993-03-01,22.949,61.47,24.575,65.82
1993-04-01,11.162,28.93,13.79,35.74
1993-05-01,3.387,9.07,4.769,12.77
1993-06-01,0.994,2.58,1.484,3.85
1993-07-01,0.284,0.76,0.243,0.65
1993-08-01,0.069,0.18,0.23,0.62
1993-09-01,0.208,0.54,0.233,0.6
