date,caudal_m3_s,volumen_mmc
1957-04-01,6.254,16.210367999999995
1957-05-01,4.415,11.825136
1957-06-01,4.933,12.786336
1957-07-01,4.625,12.3876
1957-08-01,4.698,12.5831232
1957-09-01,4.834,12.529727999999999
1957-10-01,4.081,10.9305504
1957-11-01,3.597,9.323424
1957-12-01,6.708,17.966707200000002
1958-01-01,15.702,42.05623680000001
1958-02-01,15.805,38.235456
1958-03-01,17.498,46.8666432
1958-04-01,3.458,8.963136
1958-05-01,3.319,8.8896096
1958-06-01,3.634,9.419328
1958-07-01,3.834,10.268985599999999
1958-08-01,3.785,10.137744
1958-09-01,4.016,10.409472
1958-10-01,4.402,11.790316800000003
1958-11-01,4.96,12.856320000000002
1958-12-01,4.845,12.976848
1960-01-01,9.408,25.1983872
1960-02-01,6.8,17.038079999999997
1960-03-01,1.698,4.5479232
1960-04-01,1.657,4.294944
1960-05-01,2.071,5.5469664000000005
1960-06-01,2.062,5.344704
1960-07-01,2.038,5.4585792
1960-08-01,2.091,5.600534400000001
1960-09-01,1.903,4.932576
1960-10-01,1.698,4.5479232
1960-11-01,1.491,3.864672
1960-12-01,1.679,4.4970336
1961-01-01,2.607,6.982588800000001
1961-02-01,10.614,25.6773888
1961-03-01,7.582,20.3076288
1961-04-01,2.138,5.541696
1961-05-01,0.862,2.3087807999999996
1961-06-01,0.994,2.576448
1961-07-01,1.149,3.0774816
1961-08-01,1.085,2.906064
1961-09-01,1.035,2.6827199999999993
1961-10-01,1.47,3.937248
1961-11-01,1.395,3.6158400000000004
1961-12-01,3.826,10.2475584
1962-01-01,5.572,14.9240448
1962-02-01,8.858,21.429273600000002
1962-03-01,6.75,18.0792
1962-04-01,3.115,8.07408
1962-05-01,1.543,4.1327712
1962-06-01,1.473,3.8180160000000005
1962-07-01,1.431,3.832790400000001
1962-08-01,1.423,3.8113632
1962-09-01,1.493,3.869856
1962-10-01,1.331,3.5649503999999994
1962-11-01,1.456,3.773952
1962-12-01,1.508,4.0390272000000005
1963-01-01,7.372,19.7451648
1963-02-01,19.446,47.0437632
1963-03-01,15.472,41.4402048
1963-04-01,3.856,9.994751999999998
1963-05-01,1.353,3.6238751999999996
1963-06-01,1.226,3.177792
1963-07-01,1.608,4.3068672
1963-08-01,1.551,4.1541984
1963-09-01,1.515,3.92688
1963-10-01,1.489,3.988137600000001
1963-11-01,1.448,3.753216
1963-12-01,2.727,7.3039968
1964-01-01,2.14,5.731776
1964-02-01,2.407,6.0309792
1964-03-01,5.193,13.9089312
1964-04-01,3.741,9.696672
1964-05-01,2.623,7.0254432
1964-06-01,2.09,5.41728
1964-07-01,2.035,5.450544000000001
1964-08-01,1.515,4.057776
1964-09-01,1.298,3.364416
1964-10-01,1.481,3.9667103999999997
1964-11-01,1.475,3.8232
1964-12-01,1.774,4.7514816
1965-01-01,0.179,0.47943359999999996
1965-02-01,0.185,0.447552
1965-03-01,0.0,0.0
1965-04-01,1.597,4.139423999999999
1965-05-01,1.301,3.4845984
1965-06-01,1.162,3.011904
1965-07-01,0.962,2.5766207999999997
1965-08-01,1.265,3.3881759999999996
1965-09-01,0.81,2.09952
1965-10-01,0.088196619671968,0.23622582612939913
1965-11-01,1.045,2.70864
1965-12-01,1.961,5.252342400000001
1966-01-01,0.525,1.40616
1966-02-01,0.0,0.0
1966-03-01,0.0,0.0
1966-04-01,1.155,2.9937599999999995
1966-05-01,1.988,5.3246592
1966-06-01,2.068,5.360256
1966-07-01,2.069,5.541609599999999
1966-08-01,1.997,5.3487648
1966-09-01,2.569,6.658847999999999
1966-10-01,2.999,8.0325216
1966-11-01,2.781,7.2083520000000005
1966-12-01,1.108,2.9676672
1967-01-01,2.04,5.463936
1967-02-01,6.663,16.1191296
1967-03-01,8.899,23.8350816
1967-04-01,3.414,8.849088
1967-05-01,1.998,5.3514432
1967-06-01,1.833,4.751136
1967-07-01,2.987,8.000380800000002
1967-08-01,3.582,9.594028799999998
1967-09-01,4.178,10.829376
1967-10-01,2.934,7.8584256
1967-11-01,4.175,10.8216
1967-12-01,5.352,14.3347968
1968-01-01,6.471,17.331926399999997
1968-02-01,8.003,20.0523168
1968-03-01,11.735,31.431024
1968-04-01,4.5,11.664
1968-05-01,4.31,11.543903999999998
1968-06-01,5.27,13.659839999999997
1968-07-01,5.631,15.082070400000001
1968-08-01,5.587,14.964220800000001
1968-09-01,5.411,14.025311999999998
1968-10-01,4.887,13.089340799999999
1968-11-01,5.766,14.945471999999999
1968-12-01,5.584,14.956185599999998
1969-01-01,1.513,4.0524192
1969-02-01,0.0,0.0
1969-03-01,0.061,0.16338239999999998
1969-04-01,1.156,2.996352
1969-05-01,3.687,9.8752608
1969-06-01,5.347,13.859424000000002
1969-07-01,6.869,18.3979296
1969-08-01,4.928,13.1991552
1969-09-01,3.069,7.954847999999999
1969-10-01,2.49,6.669216000000002
1969-11-01,2.247,5.824224
1969-12-01,3.27,8.758368
1970-01-01,6.799,18.210441600000003
1970-02-01,10.19,24.651648
1970-03-01,7.737,20.722780800000002
1970-04-01,3.511,9.100512
1970-05-01,2.192,5.8710528
1970-06-01,2.055,5.326560000000001
1970-07-01,3.42,9.160128
1970-08-01,3.144,8.420889599999999
1970-09-01,3.907,10.126944
1970-10-01,4.538,12.154579199999999
1970-11-01,4.795,12.428639999999998
1970-12-01,5.146,13.7830464
