date,caudal_cabeceravallechorunga_m3s,volumen_cabeceravallechorunga_mmc
1974-05-01,0.243,0.65
1974-06-01,0.186,0.48
1974-07-01,0.2,0.54
1974-08-01,2.109,5.65
1974-09-01,0.49,1.27
1974-10-01,0.203,0.54
1974-11-01,0.268,0.69
1974-12-01,0.274,0.73
1975-01-01,1.853,4.96
1975-02-01,3.581,8.66
1975-03-01,7.419,19.87
1975-04-01,1.215,3.15
1975-05-01,0.365,0.98
1975-06-01,0.917,2.38
1975-07-01,0.309,0.83
1975-08-01,0.214,0.57
1975-09-01,0.175,0.45
1975-10-01,0.199,0.53
1975-11-01,0.183,0.47
1975-12-01,0.862,2.31
1976-01-01,8.593,23.02
1976-02-01,4.091,10.25
1976-03-01,2.814,7.54
1976-04-01,0.713,1.85
1976-05-01,0.26,0.7
1976-06-01,0.18,0.47
1976-07-01,0.18,0.48
1976-08-01,0.357,0.96
1976-09-01,0.368,0.95
1976-10-01,0.196,0.52
1976-11-01,0.209,0.54
1976-12-01,0.365,0.98
1977-01-01,0.313,0.84
1977-02-01,7.142,17.28
1977-03-01,3.159,8.46
1977-04-01,0.625,1.62
1977-05-01,0.253,0.68
1977-06-01,0.213,0.55
1977-07-01,0.179,0.48
1977-08-01,0.217,0.58
1977-09-01,0.177,0.46
1977-10-01,0.181,0.48
1977-11-01,0.173,0.45
1977-12-01,0.19,0.51
1978-01-01,0.426,1.14
1978-02-01,0.783,1.89
1978-03-01,0.455,1.22
1978-04-01,0.418,1.08
1978-05-01,0.213,0.57
1978-06-01,0.209,0.54
1978-07-01,0.216,0.58
1978-08-01,0.238,0.64
1978-09-01,0.177,0.46
1978-10-01,0.223,0.6
1978-11-01,0.342,0.89
1978-12-01,0.224,0.6
1979-01-01,0.347,0.93
1979-02-01,0.521,1.26
1979-03-01,4.553,12.19
1979-04-01,0.815,2.11
1979-05-01,0.244,0.65
1979-06-01,0.206,0.53
1979-07-01,0.186,0.5
1979-08-01,0.24,0.64
1979-09-01,0.183,0.47
1979-10-01,0.286,0.77
1979-11-01,0.19,0.49
1979-12-01,0.245,0.66
1980-01-01,1.155,3.09
1980-02-01,0.456,1.14
1980-03-01,1.156,3.1
1980-04-01,0.317,0.82
1980-05-01,0.219,0.59
1980-06-01,0.268,0.69
1980-07-01,0.543,1.45
1980-08-01,0.267,0.72
1980-09-01,0.235,0.61
1980-10-01,0.728,1.95
1980-11-01,0.284,0.74
1980-12-01,0.455,1.22
1981-01-01,0.773,2.07
1981-02-01,6.353,15.37
1981-03-01,2.234,5.98
1981-04-01,0.918,2.38
1981-05-01,0.297,0.8
1981-06-01,0.194,0.5
1981-07-01,0.202,0.54
1981-08-01,1.281,3.43
1981-09-01,0.336,0.87
1981-10-01,0.213,0.57
1981-11-01,0.201,0.52
1981-12-01,0.811,2.17
1982-01-01,0.649,1.74
1982-02-01,1.332,3.22
1982-03-01,1.546,4.14
1982-04-01,0.529,1.37
1982-05-01,0.259,0.69
1982-06-01,0.497,1.29
1982-07-01,0.211,0.57
1982-08-01,0.254,0.68
1982-09-01,0.266,0.69
1982-10-01,0.325,0.87
1982-11-01,0.425,1.1
1982-12-01,0.197,0.53
1983-01-01,0.385,1.03
1983-02-01,0.577,1.4
1983-03-01,1.216,3.26
1983-04-01,0.594,1.54
1983-05-01,0.308,0.82
1983-06-01,0.339,0.88
1983-07-01,0.219,0.59
1983-08-01,0.223,0.6
1983-09-01,0.313,0.81
1983-10-01,0.203,0.54
1983-11-01,0.187,0.48
1983-12-01,0.398,1.07
1984-01-01,2.472,6.62
1984-02-01,4.827,12.09
1984-03-01,3.156,8.45
1984-04-01,0.711,1.84
1984-05-01,0.283,0.76
1984-06-01,0.406,1.05
1984-07-01,0.226,0.61
1984-08-01,0.321,0.86
1984-09-01,0.212,0.55
1984-10-01,0.296,0.79
1984-11-01,0.424,1.1
1984-12-01,1.032,2.76
1985-01-01,0.473,1.27
1985-02-01,4.271,10.33
1985-03-01,13.773,36.89
1985-04-01,2.515,6.52
1985-05-01,0.574,1.54
1985-06-01,0.339,0.88
1985-07-01,0.293,0.78
1985-08-01,0.226,0.61
1985-09-01,0.236,0.61
1985-10-01,0.237,0.63
1985-11-01,0.289,0.75
1985-12-01,1.138,3.05
1986-01-01,4.122,11.04
1986-02-01,5.135,12.42
1986-03-01,3.995,10.7
1986-04-01,0.902,2.34
1986-05-01,0.308,0.82
1986-06-01,0.408,1.06
1986-07-01,0.235,0.63
1986-08-01,1.258,3.37
1986-09-01,0.359,0.93
1986-10-01,0.202,0.54
1986-11-01,0.217,0.56
1986-12-01,0.463,1.24
1987-01-01,7.43,19.9
1987-02-01,2.015,4.87
1987-03-01,0.536,1.44
1987-04-01,0.36,0.93
1987-05-01,0.287,0.77
1987-06-01,0.499,1.29
1987-07-01,0.332,0.89
1987-08-01,0.416,1.11
1987-09-01,0.235,0.61
1987-10-01,0.234,0.63
1987-11-01,0.272,0.71
1987-12-01,0.187,0.5
1988-01-01,3.679,9.85
1988-02-01,3.912,9.8
1988-03-01,1.675,4.49
1988-04-01,0.672,1.74
1988-05-01,0.448,1.2
1988-06-01,0.427,1.11
1988-07-01,0.282,0.76
1988-08-01,0.276,0.74
1988-09-01,0.24,0.62
1988-10-01,0.217,0.58
1988-11-01,0.231,0.6
1988-12-01,0.365,0.98
1989-01-01,24.347,65.21
1989-02-01,12.095,29.26
1989-03-01,10.305,27.6
1989-04-01,1.659,4.3
1989-05-01,0.405,1.08
1989-06-01,0.377,0.98
1989-07-01,0.217,0.58
1989-08-01,0.273,0.73
1989-09-01,0.211,0.55
1989-10-01,0.254,0.68
1989-11-01,0.213,0.55
1989-12-01,0.247,0.66
1990-01-01,0.344,0.92
1990-02-01,0.351,0.85
1990-03-01,2.222,5.95
1990-04-01,0.546,1.42
1990-05-01,0.365,0.98
1990-06-01,0.698,1.81
1990-07-01,0.265,0.71
1990-08-01,0.22,0.59
1990-09-01,0.186,0.48
1990-10-01,0.233,0.62
1990-11-01,0.445,1.15
1990-12-01,0.298,0.8
1991-01-01,0.501,1.34
1991-02-01,1.178,2.85
1991-03-01,2.386,6.39
1991-04-01,0.78,2.02
1991-05-01,0.265,0.71
1991-06-01,0.368,0.95
1991-07-01,0.195,0.52
1991-08-01,0.207,0.55
1991-09-01,0.205,0.53
1991-10-01,0.246,0.66
1991-11-01,0.217,0.56
1991-12-01,0.185,0.5
1992-01-01,0.5,1.34
1992-02-01,0.374,0.94
1992-03-01,0.382,1.02
1992-04-01,0.298,0.77
1992-05-01,0.259,0.69
1992-06-01,0.523,1.36
1992-07-01,0.261,0.7
1992-08-01,0.342,0.92
1992-09-01,0.219,0.57
1992-10-01,0.315,0.84
1992-11-01,0.22,0.57
1992-12-01,0.281,0.75
1993-01-01,3.534,9.47
1993-02-01,1.386,3.35
1993-03-01,3.474,9.3
1993-04-01,0.822,2.13
1993-05-01,0.452,1.21
1993-06-01,0.667,1.73
1993-07-01,0.241,0.65
1993-08-01,0.733,1.96
1993-09-01,0.294,0.76
1993-10-01,0.323,0.87
1993-11-01,0.34,0.88
1993-12-01,1.285,3.44
1994-01-01,9.144,24.49
1994-02-01,9.887,23.92
1994-03-01,3.122,8.36
1994-04-01,0.59,1.53
1994-05-01,0.291,0.78
1994-06-01,0.549,1.42
1994-07-01,0.253,0.68
1994-08-01,0.219,0.59
1994-09-01,0.189,0.49
1994-10-01,0.167,0.45
1994-11-01,0.17,0.44
1994-12-01,0.266,0.71
1995-01-01,6.122,16.4
1995-02-01,1.342,3.25
1995-03-01,1.276,3.42
1995-04-01,0.325,0.84
1995-05-01,0.208,0.56
1995-06-01,0.353,0.91
1995-07-01,0.2,0.54
1995-08-01,0.229,0.61
1995-09-01,0.239,0.62
1995-10-01,0.233,0.62
1995-11-01,0.43,1.11
1995-12-01,0.344,0.92
1996-01-01,1.751,4.69
1996-02-01,9.948,24.93
1996-03-01,1.834,4.91
1996-04-01,0.533,1.38
1996-05-01,0.236,0.63
1996-06-01,0.351,0.91
1996-07-01,0.191,0.51
1996-08-01,0.447,1.2
1996-09-01,0.263,0.68
1996-10-01,0.202,0.54
1996-11-01,0.232,0.6
1996-12-01,0.303,0.81
1997-01-01,5.094,13.64
1997-02-01,3.727,9.02
1997-03-01,1.257,3.37
1997-04-01,0.329,0.85
1997-05-01,0.193,0.52
1997-06-01,0.343,0.89
1997-07-01,0.219,0.59
1997-08-01,6.763,18.11
1997-09-01,1.183,3.07
1997-10-01,0.366,0.98
1997-11-01,0.308,0.8
1997-12-01,0.606,1.62
1998-01-01,9.425,25.24
1998-02-01,4.007,9.69
1998-03-01,4.535,12.15
1998-04-01,0.795,2.06
1998-05-01,0.282,0.76
1998-06-01,0.779,2.02
1998-07-01,0.253,0.68
1998-08-01,0.309,0.83
1998-09-01,0.223,0.58
1998-10-01,0.247,0.66
1998-11-01,0.335,0.87
1998-12-01,2.3,6.16
1999-01-01,1.065,2.85
1999-02-01,8.928,21.6
1999-03-01,7.603,20.36
1999-04-01,1.44,3.73
1999-05-01,0.41,1.1
1999-06-01,0.609,1.58
1999-07-01,0.311,0.83
1999-08-01,0.262,0.7
1999-09-01,0.24,0.62
1999-10-01,0.304,0.81
1999-11-01,0.231,0.6
1999-12-01,0.402,1.08
2000-01-01,6.646,17.8
2000-02-01,3.172,7.95
2000-03-01,1.749,4.68
2000-04-01,0.603,1.56
2000-05-01,0.313,0.84
2000-06-01,0.404,1.05
2000-07-01,0.211,0.57
2000-08-01,0.415,1.11
2000-09-01,0.196,0.51
2000-10-01,0.374,1.0
2000-11-01,0.284,0.74
2000-12-01,0.531,1.42
2001-01-01,2.119,5.68
2001-02-01,4.349,10.52
2001-03-01,5.198,13.92
2001-04-01,1.225,3.18
2001-05-01,0.322,0.86
2001-06-01,0.43,1.11
2001-07-01,0.218,0.58
2001-08-01,0.284,0.76
2001-09-01,0.184,0.48
2001-10-01,0.235,0.63
2001-11-01,0.214,0.55
2001-12-01,0.183,0.49
2002-01-01,0.943,2.53
2002-02-01,4.508,10.91
2002-03-01,4.081,10.93
2002-04-01,1.027,2.66
2002-05-01,0.323,0.87
2002-06-01,0.461,1.19
2002-07-01,1.145,3.07
2002-08-01,0.474,1.27
2002-09-01,0.248,0.64
2002-10-01,0.24,0.64
2002-11-01,0.349,0.9
2002-12-01,0.422,1.13
