date,caudal_rio_huaura_alco_sayan_m3s,volumen_rio_huaura_alco_sayan_mmc,caudal_natural_rio_huaura_alco_sayan_m3s,volumen_natural_rio_huaura_alco_sayan_mmc,caudal_rio_chico_m3s,volumen_rio_chico_mmc,caudal_rio_pativilca_yanapampa_m3s,volumen_rio_pativilca_yanapampa_mmc,caudal_rio_chancay_huaral_santo_domingo_m3s,volumen_rio_chancay_huaral_santo_domingo_mmc,caudal_laguna_surasaca_m3s,volumen_laguna_surasaca_mmc
1970-04-01,37.4,96.9408,36.4,94.3488,2.9,7.5168,84.1,217.9872,17.8,46.1376,1.403,3.6366
1970-05-01,26.4,70.7098,25.7,68.8349,1.2,3.2141,52.4,140.3482,12.5,33.48,0.98,2.6248
1970-06-01,20.9,54.1728,19.6,50.8032,1.4,3.6288,35.3,91.4976,8.8,22.8096,1.149,2.9782
1970-07-01,15.3,40.9795,14.9,39.9082,1.3,3.4819,27.2,72.8525,5.8,15.5347,0.632,1.6927
1970-08-01,13.4,35.8906,12.8,34.2835,1.1,2.9462,24.1,64.5494,4.7,12.5885,0.957,2.5632
1970-09-01,17.9,46.3968,16.5,42.768,0.7,1.8144,28.9,74.9088,7.2,18.6624,0.931,2.4132
1970-10-01,17.9,47.9434,16.7,44.7293,0.4,1.0714,31.2,83.5661,5.5,14.7312,1.19,3.1873
1970-11-01,19.4,50.2848,17.2,44.5824,1.1,2.8512,43.3,112.2336,7.0,18.144,1.095,2.8382
1970-12-01,28.9,77.4058,26.7,71.5133,2.4,6.4282,63.0,168.7392,13.7,36.6941,1.859,4.9791
1971-01-01,37.9,101.5114,37.3,99.9043,2.9,7.7674,87.7,234.8957,25.9,69.3706,1.38,3.6962
1971-02-01,44.4,107.4125,41.8,101.1226,7.6,18.3859,111.6,269.9827,36.6,88.5427,1.296,3.1353
1971-03-01,80.0,214.272,55.0,147.312,11.3,30.2659,132.6,355.1558,50.2,134.4557,2.338,6.2621
1971-04-01,42.2,109.3824,42.3,109.6416,7.2,18.6624,91.9,238.2048,25.8,66.8736,1.248,3.2348
1971-05-01,20.8,55.7107,21.5,57.5856,2.5,6.696,32.0,85.7088,8.3,22.2307,0.461,1.2347
1971-06-01,16.7,43.2864,16.7,43.2864,2.2,5.7024,25.3,65.5776,7.0,18.144,0.263,0.6817
1971-07-01,13.5,36.1584,12.8,34.2835,1.9,5.089,20.2,54.1037,6.0,16.0704,0.192,0.5143
1971-08-01,11.8,31.6051,11.2,29.9981,2.0,5.3568,19.7,52.7645,5.6,14.999,0.19,0.5089
1971-09-01,11.3,29.2896,10.6,27.4752,1.4,3.6288,19.1,49.5072,5.2,13.4784,0.229,0.5936
1971-10-01,16.7,44.7293,13.8,36.9619,0.7,1.8749,23.3,62.4067,5.0,13.392,0.557,1.4919
1971-11-01,14.8,38.3616,12.3,31.8816,0.7,1.8144,20.1,52.0992,5.9,15.2928,0.403,1.0446
1971-12-01,23.6,63.2102,25.3,67.7635,1.9,5.089,43.4,116.2426,10.0,26.784,1.02,2.732
1972-01-01,37.6,100.7078,38.3,102.5827,2.6,6.9638,77.4,207.3082,31.2,83.5661,1.25,3.348
1972-02-01,34.0,85.1904,34.6,86.6938,4.9,12.2774,81.1,203.2042,36.7,91.9555,0.746,1.8692
1972-03-01,118.3,316.8547,114.6,306.9446,10.3,27.5875,172.6,462.2918,219.4,587.641,0.088,0.2357
1972-04-01,77.1,199.8432,77.8,201.6576,7.9,20.4768,83.1,215.3952,39.7,102.9024,0.962,2.4935
1972-05-01,32.5,87.048,32.5,87.048,2.9,7.7674,45.0,120.528,15.4,41.2474,1.072,2.8712
1972-06-01,16.4,42.5088,16.0,41.472,2.5,6.48,24.6,63.7632,10.3,26.6976,0.357,0.9253
1972-07-01,13.5,36.1584,12.8,34.2835,2.0,5.3568,18.0,48.2112,7.2,19.2845,0.546,1.4624
1972-08-01,12.5,33.48,10.9,29.1946,1.9,5.089,18.2,48.7469,6.9,18.481,1.834,4.9122
1972-09-01,12.8,33.1776,9.4,24.3648,1.3,3.3696,21.1,54.6912,6.1,15.8112,1.352,3.5044
1972-10-01,15.1,40.4438,14.5,38.8368,0.7,1.8749,22.5,60.264,6.0,16.0704,0.898,2.4052
1972-11-01,14.7,38.1024,12.8,33.1776,0.8,2.0736,24.8,64.2816,6.5,16.848,0.778,2.0166
1972-12-01,30.2,80.8877,30.1,80.6198,2.1,5.6246,44.9,120.2602,16.4,43.9258,1.107,2.965
1973-01-01,54.3,145.4371,52.4,140.3482,7.2,19.2845,96.1,257.3942,45.2,121.0637,0.669,1.7918
1973-02-01,79.4,192.0845,73.8,178.537,11.9,28.7885,115.3,278.9338,47.6,115.1539,0.04,0.0968
1973-03-01,103.4,276.9466,102.6,274.8038,9.0,24.1056,155.9,417.5626,72.2,193.3805,0.777,2.0811
1973-04-01,75.0,194.4,69.7,180.6624,5.3,13.7376,125.1,324.2592,43.7,113.2704,1.553,4.0254
1973-05-01,34.1,91.3334,30.9,82.7626,2.5,6.696,39.5,105.7968,17.9,47.9434,0.992,2.657
1973-06-01,17.0,44.064,11.0,28.512,2.4,6.2208,26.0,67.392,10.2,26.4384,5.675,14.7096
1973-07-01,14.7,39.3725,13.6,36.4262,2.1,5.6246,22.4,59.9962,7.3,19.5523,0.769,2.0597
1973-08-01,12.4,33.2122,10.9,29.1946,1.8,4.8211,19.0,50.8896,6.8,18.2131,0.979,2.6222
1973-09-01,14.2,36.8064,12.8,33.1776,1.4,3.6288,25.1,65.0592,7.6,19.6992,0.879,2.2784
1973-10-01,25.0,66.96,24.6,65.8886,3.7,9.9101,41.5,111.1536,9.2,24.6413,0.489,1.3097
1973-11-01,23.5,60.912,23.5,60.912,4.5,11.664,47.4,122.8608,9.0,23.328,1.33,3.4474
1973-12-01,44.9,120.2602,46.7,125.0813,6.5,17.4096,63.2,169.2749,24.9,66.6922,1.247,3.34
1974-01-01,60.3,161.5075,61.4,164.4538,4.9,13.1242,87.5,234.36,39.8,106.6003,0.58,1.5535
1974-02-01,76.5,185.0688,83.5,202.0032,13.7,33.143,139.1,336.5107,58.2,140.7974,1.123,2.7168
1974-03-01,73.3,196.3267,88.3,236.5027,11.7,31.3373,137.2,367.4765,61.7,165.2573,1.083,2.9007
1974-04-01,52.1,135.0432,49.4,128.0448,4.6,11.9232,68.5,177.552,24.9,64.5408,0.95,2.4624
1974-05-01,37.5,100.44,28.1,75.263,2.6,6.9638,30.2,80.8877,12.6,33.7478,0.553,1.4812
1974-06-01,17.9,46.3968,18.2,47.1744,2.7,6.9984,21.8,56.5056,9.5,24.624,0.418,1.0835
1974-07-01,14.0,37.4976,14.2,38.0333,2.4,6.4282,19.5,52.2288,7.7,20.6237,0.46,1.2321
1974-08-01,13.3,35.6227,12.5,33.48,2.8,7.4995,20.0,53.568,7.3,19.5523,0.726,1.9445
1974-09-01,14.2,36.8064,12.2,31.6224,2.0,5.184,20.7,53.6544,6.0,15.552,0.979,2.5376
1974-10-01,15.7,42.0509,13.1,35.087,1.2,3.2141,22.6,60.5318,5.0,13.392,0.979,2.6222
1974-11-01,16.1,41.7312,14.2,36.8064,1.3,3.3696,22.0,57.024,5.6,14.5152,0.815,2.1125
1974-12-01,16.7,44.7293,17.2,46.0685,1.4,3.7498,,,5.6,14.999,0.761,2.0383
1975-01-01,42.0,112.4928,40.6,108.743,2.9,7.7674,77.0,206.2368,15.2,40.7117,3.309,8.8628
1975-02-01,36.8,89.0266,34.4,83.2205,5.4,13.0637,79.4,192.0845,16.2,39.191,4.626,11.1912
1975-03-01,85.2,228.1997,90.0,241.056,8.3,22.2307,122.0,326.7648,60.1,160.9718,1.206,3.2302
1975-04-01,42.0,108.864,43.4,112.4928,6.0,15.552,72.9,188.9568,18.4,47.6928,1.069,2.7708
1975-05-01,24.9,66.6922,27.9,74.7274,2.5,6.696,45.2,121.0637,10.1,27.0518,0.718,1.9231
1975-06-01,14.4,37.3248,19.7,51.0624,2.4,6.2208,28.7,74.3904,7.3,18.9216,0.422,1.0938
1975-07-01,11.0,29.4624,15.5,41.5152,2.1,5.6246,20.0,53.568,5.6,14.999,0.612,1.6392
1975-08-01,9.9,26.5162,13.2,35.3549,1.9,5.089,19.4,51.961,5.5,14.7312,1.527,4.0899
1975-09-01,11.9,30.8448,10.6,27.4752,1.4,3.6288,26.4,68.4288,5.5,14.256,1.577,4.0876
1975-10-01,16.5,44.1936,13.6,36.4262,0.8,2.1427,41.6,111.4214,5.7,15.2669,0.632,1.6927
1975-11-01,16.3,42.2496,14.6,37.8432,0.9,2.3328,37.7,97.7184,6.1,15.8112,0.988,2.5609
1975-12-01,18.1,48.479,17.7,47.4077,1.5,4.0176,26.2,70.1741,7.9,21.1594,1.011,2.7079
1976-01-01,43.7,117.0461,48.2,129.0989,3.5,9.3744,52.7,141.1517,23.0,61.6032,1.15,3.0802
1976-02-01,76.5,191.6784,79.8,199.9469,6.4,16.0358,97.6,244.5466,47.1,118.0138,1.771,4.4374
1976-03-01,77.3,207.0403,80.4,215.3434,5.6,14.999,89.1,238.6454,42.8,114.6355,1.185,3.1739
1976-04-01,43.2,111.9744,45.0,116.64,3.6,9.3312,80.2,207.8784,20.7,53.6544,0.139,0.3603
1976-05-01,17.8,47.6755,18.7,50.0861,1.7,4.5533,52.2,139.8125,9.6,25.7126,0.329,0.8812
1976-06-01,15.5,40.176,14.8,38.3616,1.9,4.9248,25.9,67.1328,7.4,19.1808,0.706,1.83
1976-07-01,13.5,36.1584,12.4,33.2122,1.7,4.5533,21.4,57.3178,6.2,16.6061,0.89,2.3838
1976-08-01,13.2,35.3549,11.0,29.4624,1.6,4.2854,18.2,48.7469,5.6,14.999,1.731,4.6363
1976-09-01,13.2,34.2144,10.7,27.7344,1.1,2.8512,17.9,46.3968,6.0,15.552,1.394,3.6132
1976-10-01,12.6,33.7478,11.1,29.7302,0.5,1.3392,17.7,47.4077,5.0,13.392,1.184,3.1712
1976-11-01,13.4,34.7328,12.0,31.104,0.4,1.0368,19.3,50.0256,4.9,12.7008,1.194,3.0948
1976-12-01,14.9,39.9082,14.8,39.6403,0.3,0.8035,21.6,57.8534,6.6,17.6774,0.899,2.4079
1977-01-01,25.3,67.7635,21.4,57.3178,1.0,2.6784,44.4,118.921,11.0,29.4624,1.134,3.0373
1977-02-01,50.9,123.1373,49.8,120.4762,5.9,14.2733,94.5,228.6144,51.8,125.3146,0.06,0.1452
1977-03-01,55.8,149.4547,51.9,139.009,5.8,15.5347,103.1,276.143,45.5,121.8672,0.096,0.2571
1977-04-01,27.8,72.0576,28.2,73.0944,2.8,7.2576,49.4,128.0448,19.7,51.0624,0.115,0.2981
1977-05-01,15.5,41.5152,15.5,41.5152,1.4,3.7498,24.7,66.1565,8.8,23.5699,0.217,0.5812
1977-06-01,12.2,31.6224,11.0,28.512,1.6,4.1472,19.0,49.248,6.3,16.3296,0.865,2.2421
1977-07-01,12.2,32.6765,9.6,25.7126,1.4,3.7498,15.5,41.5152,5.5,14.7312,1.03,2.7588
1977-08-01,11.5,30.8016,10.2,27.3197,1.2,3.2141,18.2,48.7469,4.8,12.8563,1.281,3.431
1977-09-01,11.3,29.2896,11.9,30.8448,0.8,2.0736,16.8,43.5456,4.3,11.1456,1.288,3.3385
1977-10-01,12.4,33.2122,14.2,38.0333,0.3,0.8035,17.6,47.1398,4.4,11.785,0.519,1.3901
1977-11-01,22.5,58.32,21.3,55.2096,0.1,0.2592,27.1,70.2432,10.4,26.9568,0.987,2.5583
1977-12-01,24.9,66.6922,20.6,55.175,1.3,3.4819,30.1,80.6198,10.8,28.9267,0.726,1.9445
1978-01-01,27.4,73.3882,17.7,47.4077,4.3,11.5171,49.7,133.1165,10.0,26.784,0.698,1.8695
1978-02-01,57.0,137.8944,48.0,116.1216,7.4,17.9021,120.9,292.4813,31.6,76.4467,0.06,0.1452
1978-03-01,31.9,85.441,101.1,270.7862,5.1,13.6598,97.5,261.144,20.9,55.9786,0.06,0.1607
1978-04-01,22.1,57.2832,23.7,61.4304,2.2,5.7024,55.8,144.6336,13.3,34.4736,0.077,0.1996
1978-05-01,14.1,37.7654,16.2,43.3901,1.2,3.2141,24.6,65.8886,6.4,17.1418,0.268,0.7178
1978-06-01,11.9,30.8448,12.6,32.6592,1.5,3.888,13.2,34.2144,5.4,13.9968,0.536,1.3893
1978-07-01,11.9,31.873,10.0,26.784,1.4,3.7498,11.8,31.6051,4.4,11.785,1.412,3.7819
1978-08-01,11.3,30.2659,8.7,23.3021,1.2,3.2141,12.0,32.1408,4.3,11.5171,1.22,3.2676
1978-09-01,11.6,30.0672,9.6,24.8832,0.8,2.0736,12.7,32.9184,4.9,12.7008,1.355,3.5122
1978-10-01,12.6,33.7478,11.5,30.8016,0.3,0.8035,14.8,39.6403,4.6,12.3206,1.2,3.2141
1978-11-01,19.4,50.2848,11.7,30.3264,0.4,1.0368,27.7,71.7984,6.5,16.848,1.045,2.7086
1978-12-01,20.0,53.568,14.4,38.569,1.3,3.4819,39.0,104.4576,8.0,21.4272,0.735,1.9686
1979-01-01,27.5,73.656,22.5,60.264,2.5,6.696,41.6,111.4214,6.6,17.6774,0.263,0.7044
1979-02-01,45.9,111.0413,24.9,60.2381,8.1,19.5955,83.7,202.487,26.3,63.625,0.0,0.0
1979-03-01,74.9,200.6122,28.2,75.5309,8.8,23.5699,108.8,291.4099,51.2,137.1341,0.0,0.0
1979-04-01,48.2,124.9344,22.3,57.8016,4.2,10.8864,43.3,112.2336,13.3,34.4736,0.0,0.0
1979-05-01,28.2,75.5309,12.0,32.1408,1.7,4.5533,25.5,68.2992,6.2,16.6061,0.0,0.0
1979-06-01,14.0,36.288,8.0,20.736,1.8,4.6656,18.1,46.9152,6.1,15.8112,0.855,2.2162
1979-07-01,11.6,31.0694,6.9,18.481,1.6,4.2854,16.8,44.9971,4.8,12.8563,1.242,3.3266
